,window,ppo,rsi
0,0,1,1
83,1,1,1
166,2,1,1
249,3,1,1
332,4,1,1
415,5,1,1
498,6,1,1
581,7,1,6
664,8,1,8
747,9,1,8
830,10,1,8
913,11,1,8
996,12,1,8
1079,13,1,8
1162,14,1,8
1245,15,1,8
1328,16,1,8
1411,17,1,8
1494,18,1,8
1577,19,1,8
1660,20,1,8
1743,21,1,8
1826,22,1,8
1909,23,1,8
1992,24,1,8
1,25,1,8
84,26,1,8
167,27,1,8
250,28,1,8
333,29,1,8
416,30,1,8
499,31,1,8
582,32,1,8
665,33,1,5
748,34,1,5
831,35,1,5
914,36,1,5
997,37,1,5
1080,38,1,5
1163,39,1,5
1246,40,1,5
1329,41,1,5
1412,42,1,5
1495,43,1,5
1578,44,1,5
1661,45,1,5
1744,46,1,5
1827,47,1,5
1910,48,1,5
1993,49,1,5
2,50,1,5
85,51,1,5
168,52,1,5
251,53,1,5
334,54,1,5
417,55,1,5
500,56,1,5
583,57,1,1
666,58,1,1
749,59,1,1
832,60,1,1
915,61,1,1
998,62,1,1
1081,63,1,1
1164,64,1,1
1247,65,1,1
1330,66,1,1
1413,67,1,1
1496,68,1,1
1579,69,1,1
1662,70,1,1
1745,71,1,1
1828,72,1,1
1911,73,1,1
1994,74,1,1
3,75,1,1
86,76,1,1
169,77,1,1
252,78,1,1
335,79,1,1
418,80,1,1
501,81,1,1
584,82,1,1
667,83,2,14
750,84,12,14
833,85,2,14
916,86,2,14
999,87,2,14
1082,88,2,14
1165,89,2,14
1248,90,2,14
1331,91,2,14
1414,92,2,14
1497,93,2,14
1580,94,2,14
1663,95,2,14
1746,96,2,14
1829,97,2,14
1912,98,2,14
1995,99,2,14
4,100,2,14
87,101,2,14
170,102,2,14
253,103,2,14
336,104,2,14
419,105,2,14
502,106,2,14
585,107,1,1
668,108,1,1
751,109,1,1
834,110,1,1
917,111,1,1
1000,112,1,1
1083,113,1,1
1166,114,1,1
1249,115,1,1
1332,116,1,1
1415,117,1,1
1498,118,1,1
1581,119,1,1
1664,120,1,1
1747,121,1,1
1830,122,1,1
1913,123,1,1
1996,124,1,1
5,125,1,1
88,126,1,1
171,127,1,1
254,128,1,1
337,129,1,1
420,130,1,1
503,131,1,1
586,132,1,1
669,133,1,1
752,134,1,1
835,135,1,1
918,136,1,1
1001,137,1,1
1084,138,1,1
1167,139,1,1
1250,140,1,1
1333,141,1,1
1416,142,1,1
1499,143,1,1
1582,144,1,1
1665,145,1,1
1748,146,1,1
1831,147,1,1
1914,148,1,1
1997,149,1,1
6,150,1,1
89,151,1,1
172,152,1,1
255,153,1,1
338,154,1,1
421,155,1,1
504,156,1,1
587,157,1,1
670,158,1,1
753,159,1,1
836,160,1,1
919,161,1,1
1002,162,1,1
1085,163,1,1
1168,164,1,1
1251,165,1,1
1334,166,1,1
1417,167,1,1
1500,168,1,1
1583,169,1,1
1666,170,7,14
1749,171,7,14
1832,172,7,14
1915,173,7,14
1998,174,7,14
7,175,7,14
90,176,1,1
173,177,1,1
256,178,1,1
339,179,1,1
422,180,1,1
505,181,1,1
588,182,1,1
671,183,1,1
754,184,1,1
837,185,1,1
920,186,1,1
1003,187,1,1
1086,188,1,1
1169,189,1,1
1252,190,1,1
1335,191,1,3
1418,192,1,3
1501,193,1,3
1584,194,6,12
1667,195,6,12
1750,196,6,12
1833,197,6,12
1916,198,6,12
1999,199,6,12
8,200,6,12
91,201,6,12
174,202,6,12
257,203,6,12
340,204,6,12
423,205,6,12
506,206,6,12
589,207,6,12
672,208,6,12
755,209,6,12
838,210,6,12
921,211,6,12
1004,212,6,12
1087,213,6,12
1170,214,6,12
1253,215,6,12
1336,216,4,14
1419,217,4,14
1502,218,4,14
1585,219,1,7
1668,220,1,3
1751,221,1,6
1834,222,1,6
1917,223,1,6
2000,224,1,6
9,225,1,6
92,226,1,6
175,227,1,6
258,228,1,6
341,229,1,6
424,230,1,6
507,231,1,6
590,232,1,6
673,233,1,6
756,234,1,6
839,235,1,6
922,236,1,6
1005,237,1,3
1088,238,1,3
1171,239,1,3
1254,240,1,3
1337,241,1,3
1420,242,1,2
1503,243,1,2
1586,244,1,13
1669,245,1,13
1752,246,1,13
1835,247,1,13
1918,248,1,13
2001,249,1,13
10,250,1,13
93,251,1,13
176,252,1,13
259,253,1,13
342,254,1,13
425,255,1,13
508,256,1,13
591,257,1,2
674,258,1,1
757,259,1,1
840,260,1,1
923,261,1,1
1006,262,1,1
1089,263,1,1
1172,264,1,1
1255,265,1,1
1338,266,1,1
1421,267,1,1
1504,268,1,1
1587,269,1,1
1670,270,1,1
1753,271,1,1
1836,272,1,1
1919,273,1,1
2002,274,1,1
11,275,1,1
94,276,1,1
177,277,1,1
260,278,1,1
343,279,1,1
426,280,1,1
509,281,11,14
592,282,11,14
675,283,11,14
758,284,11,14
841,285,11,14
924,286,11,14
1007,287,11,14
1090,288,11,14
1173,289,11,14
1256,290,11,14
1339,291,11,14
1422,292,1,1
1505,293,1,1
1588,294,1,1
1671,295,1,1
1754,296,1,1
1837,297,1,1
1920,298,1,1
2003,299,1,1
12,300,1,1
95,301,1,1
178,302,1,1
261,303,1,1
344,304,1,1
427,305,1,1
510,306,12,14
593,307,1,1
676,308,1,1
759,309,1,1
842,310,1,1
925,311,1,1
1008,312,1,1
1091,313,1,1
1174,314,1,4
1257,315,1,4
1340,316,1,4
1423,317,1,4
1506,318,1,8
1589,319,1,8
1672,320,1,8
1755,321,1,8
1838,322,1,8
1921,323,1,8
2004,324,1,8
13,325,1,8
96,326,1,8
179,327,1,8
262,328,1,8
345,329,1,8
428,330,1,8
511,331,1,8
594,332,1,8
677,333,1,8
760,334,1,8
843,335,1,8
926,336,1,8
1009,337,1,8
1092,338,1,8
1175,339,1,8
1258,340,1,8
1341,341,1,8
1424,342,1,8
1507,343,1,1
1590,344,1,1
1673,345,1,1
1756,346,1,1
1839,347,1,1
1922,348,1,1
2005,349,1,1
14,350,1,1
97,351,1,1
180,352,1,1
263,353,1,1
346,354,1,1
429,355,1,1
512,356,1,1
595,357,1,1
678,358,1,1
761,359,1,1
844,360,1,1
927,361,1,1
1010,362,1,1
1093,363,1,1
1176,364,1,1
1259,365,1,1
1342,366,1,1
1425,367,1,1
1508,368,1,1
1591,369,1,1
1674,370,1,1
1757,371,1,1
1840,372,1,1
1923,373,1,1
2006,374,1,1
15,375,1,1
98,376,1,1
181,377,1,1
264,378,1,1
347,379,1,1
430,380,1,1
513,381,1,1
596,382,1,1
679,383,1,1
762,384,1,1
845,385,1,1
928,386,1,1
1011,387,1,1
1094,388,1,1
1177,389,1,1
1260,390,1,1
1343,391,1,1
1426,392,1,1
1509,393,1,1
1592,394,1,1
1675,395,1,1
1758,396,1,1
1841,397,1,1
1924,398,1,1
2007,399,1,1
16,400,1,1
99,401,1,1
182,402,1,1
265,403,1,1
348,404,1,1
431,405,1,1
514,406,1,1
597,407,1,1
680,408,1,1
763,409,1,1
846,410,1,1
929,411,1,1
1012,412,1,1
