,std,Date,pos_k,neg_k,pos_k_t,neg_k_t,pos_k_hl,neg_k_hl
0,,2001-04-23,,,,,,
1,,2001-04-24,,,,,,
2,,2001-04-25,,,,,,
3,,2001-04-26,,,,,,
4,,2001-04-27,,,,,,
5,,2001-04-30,,,,,,
6,,2001-05-01,,,,,,
7,,2001-05-02,,,,,,
8,,2001-05-03,,,,,,
9,,2001-05-04,,,,,,
10,,2001-05-07,,,,,,
11,,2001-05-08,,,,,,
12,,2001-05-09,,,,,,
13,,2001-05-10,,,,,,
14,,2001-05-11,,,,,,
15,,2001-05-14,,,,,,
16,,2001-05-15,,,,,,
17,,2001-05-16,,,,,,
18,,2001-05-17,,,,,,
19,,2001-05-18,,,,,,
20,11.231814613709016,2001-05-21,,,,,,
21,10.652822440076113,2001-05-22,,,,,,
22,9.960125857508087,2001-05-23,,,,,,
23,9.158931806581657,2001-05-24,,,,,,
24,7.778844130876002,2001-05-25,,,,,,
25,5.92437797177085,2001-05-29,,,,,,
26,4.265613522720025,2001-05-30,,,,,,
27,5.138329813672309,2001-05-31,,,,,,
28,7.46884210482362,2001-06-01,,,,,,
29,9.35629057929785,2001-06-04,,,,,,
30,9.95005999371557,2001-06-05,,,,,,
31,10.055764345589388,2001-06-06,,,,,,
32,10.112826320441128,2001-06-07,,,,,,
33,9.864099802398927,2001-06-08,,,,,,
34,9.226435676707146,2001-06-11,,,,,,
35,8.120861270074464,2001-06-12,,,,,,
36,6.913853657735535,2001-06-13,,,,,,
37,5.888361879000178,2001-06-14,,,,,,
38,5.266311424820111,2001-06-15,,,,,,
39,4.551378772314826,2001-06-18,1.0,,0.0,,1.0,
40,4.378987506281738,2001-06-19,,,1.0,,0.00032827106262212926,
41,5.864275678926229,2001-06-20,,,2.0,,1.0776189055506189e-07,
42,9.57061708181436,2001-06-21,,,3.0,,3.537511032267976e-11,
43,13.192705330556938,2001-06-22,,,4.0,,1.1612625056001137e-14,
44,16.00877562898496,2001-06-25,,,5.0,,3.81208876696587e-18,
45,17.976076417043966,2001-06-26,,,6.0,,1.2513984303417641e-21,
46,19.053439557149346,2001-06-27,,,7.0,,4.1079789249195397e-25,
47,19.705927486891735,2001-06-28,,,8.0,,1.3485306069126542e-28,
48,19.17971418067843,2001-06-29,,,9.0,,4.4268357530968343e-32,
49,18.364068727768032,2001-07-02,,,10.0,,1.4532020767227367e-35,
50,17.85988804579537,2001-07-03,,,11.0,,4.770441899304526e-39,
51,16.400268874640762,2001-07-05,,,12.0,,1.5659980314618308e-42,
52,15.026433183045805,2001-07-06,,,13.0,,5.140718378521396e-46,
53,13.698189103551341,2001-07-09,,,14.0,,1.6875490847583098e-49,
54,11.707825545825026,2001-07-10,,1.0,15.0,0.0,5.53973531280614e-53,1.0
55,9.125028237430508,2001-07-11,,,16.0,1.0,1.8185347977802114e-56,0.00032827106262212926
56,6.4246323812884345,2001-07-12,,,17.0,2.0,5.96972350482631e-60,1.0776189055506189e-07
57,5.125893343733041,2001-07-13,,,18.0,3.0,1.9596874784896414e-63,3.537511032267976e-11
58,3.908166383005087,2001-07-16,,,19.0,4.0,6.433086909710779e-67,1.1612625056001137e-14
59,3.717363117009169,2001-07-17,,,20.0,5.0,2.1117962757912746e-70,3.81208876696587e-18
60,3.484684144890983,2001-07-18,,,21.0,6.0,6.9324160749543954e-74,1.2513984303417641e-21
61,3.01299303148467,2001-07-19,,,22.0,7.0,2.2757115914640177e-77,4.1079789249195397e-25
62,2.731083574410429,2001-07-20,,,23.0,8.0,7.470502623513925e-81,1.3485306069126542e-28
63,2.4977144833741463,2001-07-23,,,24.0,9.0,2.4523498345423292e-84,4.4268357530968343e-32
64,3.4859484595893724,2001-07-24,,,25.0,10.0,8.050354861064161e-88,1.4532020767227367e-35
65,5.2368586844156795,2001-07-25,,,26.0,11.0,2.6426985447267654e-91,4.770441899304526e-39
66,7.365488511096547,2001-07-26,,,27.0,12.0,8.675214594674127e-95,1.5659980314618308e-42
67,9.847635002173762,2001-07-27,,,28.0,13.0,2.847821913468609e-98,5.140718378521396e-46
68,11.578924590380739,2001-07-30,,,29.0,14.0,9.34857525692929e-102,1.6875490847583098e-49
69,12.301535053149253,2001-07-31,,,30.0,15.0,3.068866733595134e-105,5.53973531280614e-53
70,12.304661572996984,2001-08-01,,,31.0,16.0,1.0074201436829809e-108,1.8185347977802114e-56
71,11.532026948328575,2001-08-02,,,32.0,17.0,3.3070688107375146e-112,5.96972350482631e-60
72,10.598501067362992,2001-08-03,,,33.0,18.0,1.085614992665278e-115,1.9596874784896414e-63
73,9.835332954646816,2001-08-06,,,34.0,19.0,3.5637598724075725e-119,6.433086909710779e-67
74,9.087141829445404,2001-08-07,,,35.0,20.0,1.1698792402453084e-122,2.1117962757912746e-70
75,8.513906464204057,2001-08-08,,,36.0,21.0,3.840375013349089e-126,6.9324160749543954e-74
76,8.377135904401598,2001-08-09,,,37.0,22.0,1.2606839864995479e-129,2.2757115914640177e-77
77,8.656247852944212,2001-08-10,,,38.0,23.0,4.1384607187892184e-133,7.470502623513925e-81
78,9.094626494600629,2001-08-13,,,39.0,24.0,1.3585368977768435e-136,2.4523498345423292e-84
79,9.486414869363049,2001-08-14,,,40.0,25.0,4.459683510445897e-140,8.050354861064161e-88
80,9.284128484726702,2001-08-15,,,41.0,26.0,1.4639850449324258e-143,2.6426985447267654e-91
81,8.676022027886901,2001-08-16,,,42.0,27.0,4.8058392636286104e-147,8.675214594674127e-95
82,9.124028595099963,2001-08-17,,,43.0,28.0,1.5776179618625653e-150,2.847821913468609e-98
83,10.972273253470357,2001-08-20,,,44.0,29.0,5.178863247523692e-154,9.34857525692929e-102
84,13.125396722631281,2001-08-21,,,45.0,30.0,1.700070941439348e-157,3.068866733595134e-105
85,15.56614404369707,2001-08-22,,,46.0,31.0,5.580840944792845e-161,1.0074201436829809e-108
86,17.957370607268732,2001-08-23,,,47.0,32.0,1.8320285872722933e-164,3.3070688107375146e-112
87,19.87733371988732,2001-08-24,,,48.0,33.0,6.01401971097979e-168,1.085614992665278e-115
88,21.563609787097175,2001-08-27,,,49.0,34.0,1.9742286411537172e-171,3.5637598724075725e-119
89,22.7334246562898,2001-08-28,,,50.0,35.0,6.480821338905937e-175,1.1698792402453084e-122
90,22.263559815987023,2001-08-29,,,51.0,36.0,2.1274661075867693e-178,3.840375013349089e-126
91,19.966278907314425,2001-08-30,,,52.0,37.0,6.983855598300962e-182,1.2606839864995479e-129
92,17.027198393966927,2001-08-31,1.0,,0.0,38.0,1.0,4.1384607187892184e-133
93,14.677121277183383,2001-09-04,,1.0,1.0,0.0,0.00032827106262212926,1.0
94,13.960149213650121,2001-09-05,,,2.0,1.0,1.0776189055506189e-07,0.00032827106262212926
95,14.00125307968594,2001-09-06,,,3.0,2.0,3.537511032267976e-11,1.0776189055506189e-07
96,15.997329451900896,2001-09-07,,,4.0,3.0,1.1612625056001137e-14,3.537511032267976e-11
97,18.229201243331563,2001-09-10,,,5.0,4.0,3.81208876696587e-18,1.1612625056001137e-14
98,22.398066353072892,2001-09-17,,,6.0,5.0,1.2513984303417641e-21,3.81208876696587e-18
99,27.561910335747267,2001-09-18,,,7.0,6.0,4.1079789249195397e-25,1.2513984303417641e-21
100,32.58783532329775,2001-09-19,,,8.0,7.0,1.3485306069126542e-28,4.1079789249195397e-25
101,36.755306649430125,2001-09-20,,,9.0,8.0,4.4268357530968343e-32,1.3485306069126542e-28
102,40.35768110137686,2001-09-21,,,10.0,9.0,1.4532020767227367e-35,4.4268357530968343e-32
103,41.07637351916949,2001-09-24,,,11.0,10.0,4.770441899304526e-39,1.4532020767227367e-35
104,39.48946177781389,2001-09-25,,,12.0,11.0,1.5659980314618308e-42,4.770441899304526e-39
105,34.84161569907511,2001-09-26,1.0,,0.0,12.0,1.0,1.5659980314618308e-42
106,29.24505202623586,2001-09-27,,,1.0,13.0,0.00032827106262212926,5.140718378521396e-46
107,22.755884141232606,2001-09-28,,,2.0,14.0,1.0776189055506189e-07,1.6875490847583098e-49
108,19.115082425326317,2001-10-01,,,3.0,15.0,3.537511032267976e-11,5.53973531280614e-53
109,20.571341020422196,2001-10-02,,,4.0,16.0,1.1612625056001137e-14,1.8185347977802114e-56
110,26.449143589184096,2001-10-03,,,5.0,17.0,3.81208876696587e-18,5.96972350482631e-60
111,32.597734719783205,2001-10-04,,,6.0,18.0,1.2513984303417641e-21,1.9596874784896414e-63
112,35.64397668020545,2001-10-05,,,7.0,19.0,4.1079789249195397e-25,6.433086909710779e-67
113,35.07816569137432,2001-10-08,,,8.0,20.0,1.3485306069126542e-28,2.1117962757912746e-70
114,32.43319953660551,2001-10-09,,,9.0,21.0,4.4268357530968343e-32,6.9324160749543954e-74
115,29.940420409680762,2001-10-10,,,10.0,22.0,1.4532020767227367e-35,2.2757115914640177e-77
116,28.99948428279983,2001-10-11,,,11.0,23.0,4.770441899304526e-39,7.470502623513925e-81
117,29.89670236300018,2001-10-12,,,12.0,24.0,1.5659980314618308e-42,2.4523498345423292e-84
118,31.496716595591064,2001-10-15,,,13.0,25.0,5.140718378521396e-46,8.050354861064161e-88
119,34.41795874272708,2001-10-16,,,14.0,26.0,1.6875490847583098e-49,2.6426985447267654e-91
120,38.214454136658325,2001-10-17,,,15.0,27.0,5.53973531280614e-53,8.675214594674127e-95
121,40.58463993809228,2001-10-18,,,16.0,28.0,1.8185347977802114e-56,2.847821913468609e-98
122,40.77282375428802,2001-10-19,,,17.0,29.0,5.96972350482631e-60,9.34857525692929e-102
123,39.16637461616668,2001-10-22,,,18.0,30.0,1.9596874784896414e-63,3.068866733595134e-105
124,34.66244415300442,2001-10-23,,,19.0,31.0,6.433086909710779e-67,1.0074201436829809e-108
125,28.606885904240514,2001-10-24,,,20.0,32.0,2.1117962757912746e-70,3.3070688107375146e-112
126,23.19406422415572,2001-10-25,,,21.0,33.0,6.9324160749543954e-74,1.085614992665278e-115
127,17.846477986067413,2001-10-26,,,22.0,34.0,2.2757115914640177e-77,3.5637598724075725e-119
128,12.533833621913823,2001-10-29,,1.0,23.0,0.0,7.470502623513925e-81,1.0
129,9.160112815162345,2001-10-30,,,24.0,1.0,2.4523498345423292e-84,0.00032827106262212926
130,8.574980322496149,2001-10-31,,,25.0,2.0,8.050354861064161e-88,1.0776189055506189e-07
131,9.362939803520476,2001-11-01,,,26.0,3.0,2.6426985447267654e-91,3.537511032267976e-11
132,9.991205191159533,2001-11-02,,,27.0,4.0,8.675214594674127e-95,1.1612625056001137e-14
133,10.92879216225675,2001-11-05,,,28.0,5.0,2.847821913468609e-98,3.81208876696587e-18
134,11.190642250950837,2001-11-06,,,29.0,6.0,9.34857525692929e-102,1.2513984303417641e-21
135,11.157187009421646,2001-11-07,,,30.0,7.0,3.068866733595134e-105,4.1079789249195397e-25
136,10.38646987792892,2001-11-08,,,31.0,8.0,1.0074201436829809e-108,1.3485306069126542e-28
137,8.652612771754944,2001-11-09,,,32.0,9.0,3.3070688107375146e-112,4.4268357530968343e-32
138,7.686252110251566,2001-11-12,,,33.0,10.0,1.085614992665278e-115,1.4532020767227367e-35
139,6.275816967282166,2001-11-13,,,34.0,11.0,3.5637598724075725e-119,4.770441899304526e-39
140,6.4174822183715525,2001-11-14,,,35.0,12.0,1.1698792402453084e-122,1.5659980314618308e-42
141,6.4616365082161895,2001-11-15,,,36.0,13.0,3.840375013349089e-126,5.140718378521396e-46
142,6.399726045527711,2001-11-16,,,37.0,14.0,1.2606839864995479e-129,1.6875490847583098e-49
143,6.035828540421814,2001-11-19,,,38.0,15.0,4.1384607187892184e-133,5.53973531280614e-53
144,4.672823089746655,2001-11-20,,,39.0,16.0,1.3585368977768435e-136,1.8185347977802114e-56
145,3.48767537691351,2001-11-21,,,40.0,17.0,4.459683510445897e-140,5.96972350482631e-60
146,2.12277869930972,2001-11-23,,,41.0,18.0,1.4639850449324258e-143,1.9596874784896414e-63
147,1.8713982489948722,2001-11-26,,,42.0,19.0,4.8058392636286104e-147,6.433086909710779e-67
148,2.0219036042295593,2001-11-27,,,43.0,20.0,1.5776179618625653e-150,2.1117962757912746e-70
149,2.9457108439917805,2001-11-28,1.0,,0.0,21.0,1.0,6.9324160749543954e-74
150,4.581550980068137,2001-11-29,,,1.0,22.0,0.00032827106262212926,2.2757115914640177e-77
151,5.978261917345398,2001-11-30,,,2.0,23.0,1.0776189055506189e-07,7.470502623513925e-81
152,6.813984231030134,2001-12-03,,,3.0,24.0,3.537511032267976e-11,2.4523498345423292e-84
153,7.420214633780139,2001-12-04,,,4.0,25.0,1.1612625056001137e-14,8.050354861064161e-88
154,8.065358662209986,2001-12-05,,,5.0,26.0,3.81208876696587e-18,2.6426985447267654e-91
155,7.652442173982251,2001-12-06,,,6.0,27.0,1.2513984303417641e-21,8.675214594674127e-95
156,6.642136559908817,2001-12-07,,1.0,7.0,0.0,4.1079789249195397e-25,1.0
157,4.769065648110897,2001-12-10,,,8.0,1.0,1.3485306069126542e-28,0.00032827106262212926
158,4.63344857377982,2001-12-11,,,9.0,2.0,4.4268357530968343e-32,1.0776189055506189e-07
159,5.8395729416833495,2001-12-12,,,10.0,3.0,1.4532020767227367e-35,3.537511032267976e-11
