,std,Date,pos_k,neg_k,pos_k_t,neg_k_t,pos_k_hl,neg_k_hl
0,,2001-04-23,,,,,,
1,,2001-04-24,,,,,,
2,,2001-04-25,,,,,,
3,,2001-04-26,,,,,,
4,,2001-04-27,,,,,,
5,,2001-04-30,,,,,,
6,,2001-05-01,,,,,,
7,,2001-05-02,,,,,,
8,,2001-05-03,,,,,,
9,,2001-05-04,,,,,,
10,,2001-05-07,,,,,,
11,,2001-05-08,,,,,,
12,,2001-05-09,,,,,,
13,,2001-05-10,,,,,,
14,,2001-05-11,,,,,,
15,,2001-05-14,,,,,,
16,,2001-05-15,,1.0,,0.0,,1.0
17,,2001-05-16,,1.0,,0.0,,1.0
18,,2001-05-17,,1.0,,0.0,,1.0
19,,2001-05-18,,,,1.0,,0.00032827106262212926
20,11.231814613709016,2001-05-21,,,,2.0,,1.0776189055506189e-07
21,10.652822440076113,2001-05-22,,,,3.0,,3.537511032267976e-11
22,9.960125857508087,2001-05-23,,,,4.0,,1.1612625056001137e-14
23,9.158931806581657,2001-05-24,,,,5.0,,3.81208876696587e-18
24,7.778844130876002,2001-05-25,,,,6.0,,1.2513984303417641e-21
25,5.92437797177085,2001-05-29,,,,7.0,,4.1079789249195397e-25
26,4.265613522720025,2001-05-30,,,,8.0,,1.3485306069126542e-28
27,5.138329813672309,2001-05-31,,,,9.0,,4.4268357530968343e-32
28,7.46884210482362,2001-06-01,,,,10.0,,1.4532020767227367e-35
29,9.35629057929785,2001-06-04,,,,11.0,,4.770441899304526e-39
30,9.95005999371557,2001-06-05,,,,12.0,,1.5659980314618308e-42
31,10.055764345589388,2001-06-06,,,,13.0,,5.140718378521396e-46
32,10.112826320441128,2001-06-07,,,,14.0,,1.6875490847583098e-49
33,9.864099802398927,2001-06-08,,,,15.0,,5.53973531280614e-53
34,9.226435676707146,2001-06-11,,,,16.0,,1.8185347977802114e-56
35,8.120861270074464,2001-06-12,1.0,,0.0,17.0,1.0,5.96972350482631e-60
36,6.913853657735535,2001-06-13,,,1.0,18.0,0.00032827106262212926,1.9596874784896414e-63
37,5.888361879000178,2001-06-14,,,2.0,19.0,1.0776189055506189e-07,6.433086909710779e-67
38,5.266311424820111,2001-06-15,,,3.0,20.0,3.537511032267976e-11,2.1117962757912746e-70
39,4.551378772314826,2001-06-18,,,4.0,21.0,1.1612625056001137e-14,6.9324160749543954e-74
40,4.378987506281738,2001-06-19,,,5.0,22.0,3.81208876696587e-18,2.2757115914640177e-77
41,5.864275678926229,2001-06-20,,,6.0,23.0,1.2513984303417641e-21,7.470502623513925e-81
42,9.57061708181436,2001-06-21,,,7.0,24.0,4.1079789249195397e-25,2.4523498345423292e-84
43,13.192705330556938,2001-06-22,,1.0,8.0,0.0,1.3485306069126542e-28,1.0
44,16.00877562898496,2001-06-25,,1.0,9.0,0.0,4.4268357530968343e-32,1.0
45,17.976076417043966,2001-06-26,,,10.0,1.0,1.4532020767227367e-35,0.00032827106262212926
46,19.053439557149346,2001-06-27,,1.0,11.0,0.0,4.770441899304526e-39,1.0
47,19.705927486891735,2001-06-28,,1.0,12.0,0.0,1.5659980314618308e-42,1.0
48,19.17971418067843,2001-06-29,,1.0,13.0,0.0,5.140718378521396e-46,1.0
49,18.364068727768032,2001-07-02,,,14.0,1.0,1.6875490847583098e-49,0.00032827106262212926
50,17.85988804579537,2001-07-03,,1.0,15.0,0.0,5.53973531280614e-53,1.0
51,16.400268874640762,2001-07-05,,1.0,16.0,0.0,1.8185347977802114e-56,1.0
52,15.026433183045805,2001-07-06,,,17.0,1.0,5.96972350482631e-60,0.00032827106262212926
53,13.698189103551341,2001-07-09,,,18.0,2.0,1.9596874784896414e-63,1.0776189055506189e-07
54,11.707825545825026,2001-07-10,,,19.0,3.0,6.433086909710779e-67,3.537511032267976e-11
55,9.125028237430508,2001-07-11,,,20.0,4.0,2.1117962757912746e-70,1.1612625056001137e-14
56,6.4246323812884345,2001-07-12,,,21.0,5.0,6.9324160749543954e-74,3.81208876696587e-18
57,5.125893343733041,2001-07-13,,,22.0,6.0,2.2757115914640177e-77,1.2513984303417641e-21
58,3.908166383005087,2001-07-16,,,23.0,7.0,7.470502623513925e-81,4.1079789249195397e-25
59,3.717363117009169,2001-07-17,,,24.0,8.0,2.4523498345423292e-84,1.3485306069126542e-28
60,3.484684144890983,2001-07-18,,,25.0,9.0,8.050354861064161e-88,4.4268357530968343e-32
61,3.01299303148467,2001-07-19,,,26.0,10.0,2.6426985447267654e-91,1.4532020767227367e-35
62,2.731083574410429,2001-07-20,,,27.0,11.0,8.675214594674127e-95,4.770441899304526e-39
63,2.4977144833741463,2001-07-23,,,28.0,12.0,2.847821913468609e-98,1.5659980314618308e-42
64,3.4859484595893724,2001-07-24,,,29.0,13.0,9.34857525692929e-102,5.140718378521396e-46
65,5.2368586844156795,2001-07-25,1.0,,0.0,14.0,1.0,1.6875490847583098e-49
66,7.365488511096547,2001-07-26,,,1.0,15.0,0.00032827106262212926,5.53973531280614e-53
67,9.847635002173762,2001-07-27,,,2.0,16.0,1.0776189055506189e-07,1.8185347977802114e-56
68,11.578924590380739,2001-07-30,1.0,,0.0,17.0,1.0,5.96972350482631e-60
69,12.301535053149253,2001-07-31,,,1.0,18.0,0.00032827106262212926,1.9596874784896414e-63
70,12.304661572996984,2001-08-01,,,2.0,19.0,1.0776189055506189e-07,6.433086909710779e-67
71,11.532026948328575,2001-08-02,,,3.0,20.0,3.537511032267976e-11,2.1117962757912746e-70
72,10.598501067362992,2001-08-03,,,4.0,21.0,1.1612625056001137e-14,6.9324160749543954e-74
73,9.835332954646816,2001-08-06,1.0,,0.0,22.0,1.0,2.2757115914640177e-77
74,9.087141829445404,2001-08-07,1.0,,0.0,23.0,1.0,7.470502623513925e-81
75,8.513906464204057,2001-08-08,1.0,,0.0,24.0,1.0,2.4523498345423292e-84
76,8.377135904401598,2001-08-09,1.0,,0.0,25.0,1.0,8.050354861064161e-88
77,8.656247852944212,2001-08-10,,,1.0,26.0,0.00032827106262212926,2.6426985447267654e-91
78,9.094626494600629,2001-08-13,,,2.0,27.0,1.0776189055506189e-07,8.675214594674127e-95
79,9.486414869363049,2001-08-14,,,3.0,28.0,3.537511032267976e-11,2.847821913468609e-98
80,9.284128484726702,2001-08-15,,,4.0,29.0,1.1612625056001137e-14,9.34857525692929e-102
81,8.676022027886901,2001-08-16,,,5.0,30.0,3.81208876696587e-18,3.068866733595134e-105
82,9.124028595099963,2001-08-17,,,6.0,31.0,1.2513984303417641e-21,1.0074201436829809e-108
83,10.972273253470357,2001-08-20,1.0,,0.0,32.0,1.0,3.3070688107375146e-112
84,13.125396722631281,2001-08-21,1.0,,0.0,33.0,1.0,1.085614992665278e-115
85,15.56614404369707,2001-08-22,1.0,,0.0,34.0,1.0,3.5637598724075725e-119
86,17.957370607268732,2001-08-23,1.0,,0.0,35.0,1.0,1.1698792402453084e-122
87,19.87733371988732,2001-08-24,1.0,,0.0,36.0,1.0,3.840375013349089e-126
88,21.563609787097175,2001-08-27,1.0,,0.0,37.0,1.0,1.2606839864995479e-129
89,22.7334246562898,2001-08-28,1.0,,0.0,38.0,1.0,4.1384607187892184e-133
90,22.263559815987023,2001-08-29,1.0,,0.0,39.0,1.0,1.3585368977768435e-136
91,19.966278907314425,2001-08-30,,,1.0,40.0,0.00032827106262212926,4.459683510445897e-140
92,17.027198393966927,2001-08-31,,,2.0,41.0,1.0776189055506189e-07,1.4639850449324258e-143
93,14.677121277183383,2001-09-04,,,3.0,42.0,3.537511032267976e-11,4.8058392636286104e-147
94,13.960149213650121,2001-09-05,1.0,,0.0,43.0,1.0,1.5776179618625653e-150
95,14.00125307968594,2001-09-06,1.0,,0.0,44.0,1.0,5.178863247523692e-154
96,15.997329451900896,2001-09-07,1.0,,0.0,45.0,1.0,1.700070941439348e-157
97,18.229201243331563,2001-09-10,1.0,,0.0,46.0,1.0,5.580840944792845e-161
98,22.398066353072892,2001-09-17,,,1.0,47.0,0.00032827106262212926,1.8320285872722933e-164
99,27.561910335747267,2001-09-18,1.0,,0.0,48.0,1.0,6.01401971097979e-168
100,32.58783532329775,2001-09-19,1.0,,0.0,49.0,1.0,1.9742286411537172e-171
101,36.755306649430125,2001-09-20,1.0,,0.0,50.0,1.0,6.480821338905937e-175
102,40.35768110137686,2001-09-21,1.0,,0.0,51.0,1.0,2.1274661075867693e-178
103,41.07637351916949,2001-09-24,1.0,,0.0,52.0,1.0,6.983855598300962e-182
104,39.48946177781389,2001-09-25,,,1.0,53.0,0.00032827106262212926,2.292597698453706e-185
105,34.84161569907511,2001-09-26,,,2.0,54.0,1.0776189055506189e-07,7.5259348263647e-189
106,29.24505202623586,2001-09-27,,,3.0,55.0,3.537511032267976e-11,2.470546622675568e-192
107,22.755884141232606,2001-09-28,,,4.0,56.0,1.1612625056001137e-14,8.110089650832011e-196
108,19.115082425326317,2001-10-01,,,5.0,57.0,3.81208876696587e-18,2.6623077476394424e-199
109,20.571341020422196,2001-10-02,,,6.0,58.0,1.2513984303417641e-21,8.739585933447055e-203
110,26.449143589184096,2001-10-03,,,7.0,59.0,4.1079789249195397e-25,2.86895316125017e-206
111,32.597734719783205,2001-10-04,,,8.0,60.0,1.3485306069126542e-28,9.417943028566867e-210
112,35.64397668020545,2001-10-05,,,9.0,61.0,4.4268357530968343e-32,3.091638165702418e-213
113,35.07816569137432,2001-10-08,,,10.0,62.0,1.4532020767227367e-35,1.014895345898238e-216
114,32.43319953660551,2001-10-09,,,11.0,63.0,4.770441899304526e-39,3.3316077364827866e-220
115,29.940420409680762,2001-10-10,,,12.0,64.0,1.5659980314618308e-42,1.0936704118952838e-223
116,28.99948428279983,2001-10-11,,1.0,13.0,0.0,5.140718378521396e-46,1.0
117,29.89670236300018,2001-10-12,,1.0,14.0,0.0,1.6875490847583098e-49,1.0
118,31.496716595591064,2001-10-15,,1.0,15.0,0.0,5.53973531280614e-53,1.0
119,34.41795874272708,2001-10-16,,1.0,16.0,0.0,1.8185347977802114e-56,1.0
120,38.214454136658325,2001-10-17,,1.0,17.0,0.0,5.96972350482631e-60,1.0
121,40.58463993809228,2001-10-18,,1.0,18.0,0.0,1.9596874784896414e-63,1.0
122,40.77282375428802,2001-10-19,,,19.0,1.0,6.433086909710779e-67,0.00032827106262212926
123,39.16637461616668,2001-10-22,,,20.0,2.0,2.1117962757912746e-70,1.0776189055506189e-07
124,34.66244415300442,2001-10-23,,,21.0,3.0,6.9324160749543954e-74,3.537511032267976e-11
125,28.606885904240514,2001-10-24,,,22.0,4.0,2.2757115914640177e-77,1.1612625056001137e-14
126,23.19406422415572,2001-10-25,,,23.0,5.0,7.470502623513925e-81,3.81208876696587e-18
127,17.846477986067413,2001-10-26,,,24.0,6.0,2.4523498345423292e-84,1.2513984303417641e-21
128,12.533833621913823,2001-10-29,,,25.0,7.0,8.050354861064161e-88,4.1079789249195397e-25
129,9.160112815162345,2001-10-30,,,26.0,8.0,2.6426985447267654e-91,1.3485306069126542e-28
130,8.574980322496149,2001-10-31,,,27.0,9.0,8.675214594674127e-95,4.4268357530968343e-32
131,9.362939803520476,2001-11-01,,,28.0,10.0,2.847821913468609e-98,1.4532020767227367e-35
132,9.991205191159533,2001-11-02,,,29.0,11.0,9.34857525692929e-102,4.770441899304526e-39
133,10.92879216225675,2001-11-05,,,30.0,12.0,3.068866733595134e-105,1.5659980314618308e-42
134,11.190642250950837,2001-11-06,,,31.0,13.0,1.0074201436829809e-108,5.140718378521396e-46
135,11.157187009421646,2001-11-07,,,32.0,14.0,3.3070688107375146e-112,1.6875490847583098e-49
136,10.38646987792892,2001-11-08,,,33.0,15.0,1.085614992665278e-115,5.53973531280614e-53
137,8.652612771754944,2001-11-09,,,34.0,16.0,3.5637598724075725e-119,1.8185347977802114e-56
138,7.686252110251566,2001-11-12,,,35.0,17.0,1.1698792402453084e-122,5.96972350482631e-60
139,6.275816967282166,2001-11-13,,,36.0,18.0,3.840375013349089e-126,1.9596874784896414e-63
140,6.4174822183715525,2001-11-14,,,37.0,19.0,1.2606839864995479e-129,6.433086909710779e-67
141,6.4616365082161895,2001-11-15,,,38.0,20.0,4.1384607187892184e-133,2.1117962757912746e-70
142,6.399726045527711,2001-11-16,,,39.0,21.0,1.3585368977768435e-136,6.9324160749543954e-74
143,6.035828540421814,2001-11-19,,,40.0,22.0,4.459683510445897e-140,2.2757115914640177e-77
144,4.672823089746655,2001-11-20,,,41.0,23.0,1.4639850449324258e-143,7.470502623513925e-81
145,3.48767537691351,2001-11-21,,,42.0,24.0,4.8058392636286104e-147,2.4523498345423292e-84
146,2.12277869930972,2001-11-23,,,43.0,25.0,1.5776179618625653e-150,8.050354861064161e-88
147,1.8713982489948722,2001-11-26,,,44.0,26.0,5.178863247523692e-154,2.6426985447267654e-91
148,2.0219036042295593,2001-11-27,,,45.0,27.0,1.700070941439348e-157,8.675214594674127e-95
149,2.9457108439917805,2001-11-28,,,46.0,28.0,5.580840944792845e-161,2.847821913468609e-98
150,4.581550980068137,2001-11-29,,,47.0,29.0,1.8320285872722933e-164,9.34857525692929e-102
151,5.978261917345398,2001-11-30,,,48.0,30.0,6.01401971097979e-168,3.068866733595134e-105
