,Date,pos_k,neg_k,std,pos_k_hl,neg_k_hl
0,2001-04-23,,,,,
1,2001-04-24,,,,,
2,2001-04-25,,,,,
3,2001-04-26,,,,,
4,2001-04-27,,,,,
5,2001-04-30,,,,,
6,2001-05-01,,,,,
7,2001-05-02,,,,,
8,2001-05-03,,,,,
9,2001-05-04,,,,,
10,2001-05-07,,,,,
11,2001-05-08,,,,,
12,2001-05-09,,,,,
13,2001-05-10,,,,,
14,2001-05-11,,,,,
15,2001-05-14,,,,,
16,2001-05-15,,,,,
17,2001-05-16,,,,,
18,2001-05-17,,,,,
19,2001-05-18,,,,,
20,2001-05-21,,,0.12568593781164114,,
21,2001-05-22,,,0.1729783608015543,,
22,2001-05-23,,,0.240759956306831,,
23,2001-05-24,,,0.33399727786272154,,
24,2001-05-25,,,0.3999843431630518,,
25,2001-05-29,,,0.44794659001549836,,
26,2001-05-30,,,0.4631128487060695,,
27,2001-05-31,,,0.4673935743353581,,
28,2001-06-01,,,0.4449901426868381,,
29,2001-06-04,,,0.40702597756479436,,
30,2001-06-05,,,0.35013900423506145,,
31,2001-06-06,,,0.3019421425040611,,
32,2001-06-07,,,0.2560403885091556,,
33,2001-06-08,,,0.2309516756279962,,
34,2001-06-11,,,0.19916308125928328,,
35,2001-06-12,,,0.1809964208076603,,
36,2001-06-13,,,0.16181643251793765,,
37,2001-06-14,,,0.14125344509957544,,
38,2001-06-15,,,0.10877271637974921,,
39,2001-06-18,,,0.06690973494171584,,
40,2001-06-19,,,0.04942882320530836,,
41,2001-06-20,,,0.06150009671388721,,
42,2001-06-21,1.0,,0.11256341677762674,1.0,
43,2001-06-22,,,0.18383907564098353,0.7547199377372016,
44,2001-06-25,,,0.24368197165049207,0.5696021844180454,
45,2001-06-26,,,0.28389785633156833,0.42989012515896124,
46,2001-06-27,,1.0,0.310043064289562,0.32444664849380905,1.0
47,2001-06-28,,,0.30977520544968845,0.24486635435029128,0.46065418396627184
48,2001-06-29,,,0.2815948946601858,0.18480551970918738,0.2122022772056318
49,2001-07-02,,,0.24035281012261506,0.13947641032840907,0.0
50,2001-07-03,,,0.1876227735661733,0.10526562771886529,
51,2001-07-05,,,0.12018849702128041,0.0,
52,2001-07-06,,,0.06236592010421492,,
53,2001-07-09,,,0.06611729101391901,,
54,2001-07-10,,,0.1323787695910059,,
55,2001-07-11,,,0.1999881989358115,,
56,2001-07-12,,,0.2310398248198969,,
57,2001-07-13,,,0.23750591548974634,,
58,2001-07-16,,,0.22848391268975876,,
59,2001-07-17,1.0,,0.23359772213166105,1.0,
60,2001-07-18,,,0.28730826175251073,0.557666422037465,
61,2001-07-19,,,0.3686606539979073,0.31099183826806803,
62,2001-07-20,,,0.452193421515507,0.17342970572980748,
63,2001-07-23,,,0.5169835238493256,0.0,
64,2001-07-24,,,0.5438544974105146,,
65,2001-07-25,,,0.5249754190064319,,
66,2001-07-26,,,0.4797970440599941,,
67,2001-07-27,,,0.41186388133732527,,
68,2001-07-30,,,0.3280372911512315,,
69,2001-07-31,,,0.27351059871064554,,
70,2001-08-01,,,0.24721331288478335,,
71,2001-08-02,,,0.240655870486612,,
72,2001-08-03,,1.0,0.23783311546232672,,1.0
73,2001-08-06,,,0.22428738215657593,,0.5517927320379665
74,2001-08-07,,,0.19726061774513004,,0.3044752191299232
75,2001-08-08,,,0.15710226284418555,,0.16800721300155885
76,2001-08-09,,,0.11809271357367086,,0.0
77,2001-08-10,,,0.08406364540096654,,
78,2001-08-13,,,0.06064173994797794,,
79,2001-08-14,,,0.04522340225504506,,
80,2001-08-15,,,0.027763129792847133,,
81,2001-08-16,,,0.021521917924435148,,
82,2001-08-17,,,0.020838898740431606,,
83,2001-08-20,,,0.023207412760041155,,
84,2001-08-21,,,0.032669965694462864,,
85,2001-08-22,,,0.06587479382815851,,
86,2001-08-23,1.0,,0.11328688098925496,1.0,
87,2001-08-24,,1.0,0.13313881915702644,0.7533561392713186,1.0
88,2001-08-27,,,0.13873889629766753,0.5675454725777863,0.7168798340520538
89,2001-08-28,,,0.13271653677884948,0.42756386608211716,0.5139166964705001
90,2001-08-29,,,0.14607767593191648,0.32210786344354286,0.36841651608235176
91,2001-08-30,,,0.19742900550070078,0.24266193643276052,0.26411037091115214
92,2001-08-31,,,0.2441854506713133,0.1828108595790866,0.18933539887021314
93,2001-09-04,,,0.28157290821900915,0.13772168338937182,0.13573072932225777
94,2001-09-05,,,0.31557868603594824,0.10375347569216405,0.0
95,2001-09-06,,,0.35099309098512593,0.0,
96,2001-09-07,,,0.38050050559784154,,
97,2001-09-10,,,0.4201775663764139,,
98,2001-09-17,,,0.5119150426650212,,
99,2001-09-18,,,0.6135512500783804,,
100,2001-09-19,,,0.7232217268568994,,
101,2001-09-20,,,0.841532060375229,,
102,2001-09-21,,,0.9732973452846456,,
103,2001-09-24,,,1.0501591023866663,,
104,2001-09-25,,,1.0506085065653363,,
105,2001-09-26,,,0.9947375711212126,,
106,2001-09-27,,,0.8787481186115678,,
107,2001-09-28,1.0,,0.7072476154737163,1.0,
108,2001-10-01,,,0.549874449214892,0.17065368009756693,
109,2001-10-02,,,0.41426325176430195,0.0,
110,2001-10-03,,,0.3392589040518444,,
111,2001-10-04,,,0.35437333818580435,,
112,2001-10-05,,,0.38363581341024827,,
113,2001-10-08,,,0.37128682579343203,,
114,2001-10-09,,1.0,0.3535735438500902,,1.0
115,2001-10-10,,,0.33583241524926477,,0.4131544191626792
116,2001-10-11,,,0.3470667065320722,,0.1706965740736508
117,2001-10-12,,,0.41136763733670834,,0.0
118,2001-10-15,,,0.4617527587673281,,
119,2001-10-16,1.0,,0.4678894374022135,1.0,
120,2001-10-17,,,0.4278850479112442,0.31045274056091343,
121,2001-10-18,,,0.33862353042388293,0.0,
122,2001-10-19,,,0.2372665835616321,,
123,2001-10-22,,,0.19066990203426967,,
124,2001-10-23,,,0.24321393355087623,,
125,2001-10-24,,,0.3262930976549506,,
126,2001-10-25,,,0.4202653411500586,,
127,2001-10-26,,,0.4819800140136212,,
128,2001-10-29,,,0.5057310414885098,,
129,2001-10-30,,,0.5136226567412937,,
130,2001-10-31,,,0.5000012178871784,,
131,2001-11-01,,,0.4711080339555429,,
132,2001-11-02,,,0.427601593775739,,
133,2001-11-05,,,0.384041865873728,,
134,2001-11-06,,,0.3558160762058528,,
135,2001-11-07,,,0.36319804183653065,,
136,2001-11-08,,,0.4081232869728747,,
137,2001-11-09,,,0.46597448831345956,,
138,2001-11-12,,,0.5128285572913239,,
139,2001-11-13,,,0.5431871818785178,,
140,2001-11-14,,,0.5486066932859563,,
141,2001-11-15,,,0.5308218663843917,,
142,2001-11-16,,,0.4907207074122077,,
143,2001-11-19,,,0.44165584059483676,,
144,2001-11-20,,,0.38942392990346214,,
145,2001-11-21,,,0.3420642384854705,,
146,2001-11-23,,,0.3196867824516398,,
147,2001-11-26,,,0.3134342770102734,,
148,2001-11-27,,1.0,0.29594044626243066,,1.0
149,2001-11-28,,,0.26114234786437346,,0.47718495560157015
150,2001-11-29,,,0.23272922149743303,,0.22770548185247244
151,2001-11-30,,,0.19834236292870144,,0.10865763024800619
152,2001-12-03,,,0.16165423670698922,,0.0
153,2001-12-04,,,0.14983552549503357,,
154,2001-12-05,,,0.15599016263446916,,
155,2001-12-06,,,0.16381157913209535,,
156,2001-12-07,,,0.16651381636895413,,
157,2001-12-10,,,0.15393989886181433,,
158,2001-12-11,,,0.12459897726183145,,
159,2001-12-12,,,0.10657738412775135,,
160,2001-12-13,,,0.06650121198155609,,
161,2001-12-14,,,0.06341136349508453,,
162,2001-12-17,,,0.06167679111891843,,
163,2001-12-18,,,0.058803086318362924,,
164,2001-12-19,,,0.06353149761335683,,
165,2001-12-20,,,0.07032512301217991,,
166,2001-12-21,,,0.06472881088985204,,
167,2001-12-24,,,0.06608190650029286,,
168,2001-12-26,,,0.06760384755678618,,
169,2001-12-27,,,0.06629557249296712,,
170,2001-12-28,,,0.06964348859902562,,
171,2001-12-31,,,0.05983203946784891,,
172,2002-01-02,,,0.0600635282391479,,
173,2002-01-03,,,0.06365358947136175,,
174,2002-01-04,1.0,,0.0802606123273181,1.0,
175,2002-01-07,,,0.09343921482605183,0.8181974984952264,
176,2002-01-08,,1.0,0.09417790861343144,0.669447146543846,1.0
177,2002-01-09,,,0.08320539659155306,0.547739980676942,0.7902193044039932
178,2002-01-10,,,0.07097520396104096,0.44815948201569755,0.624446549052731
179,2002-01-11,,,0.09109597895813924,0.36668296711216014,0.4934497176299232
180,2002-01-14,,,0.1371930567679145,0.3000190864319768,0.3899334926238648
181,2002-01-15,,,0.1739877720055586,0.24547486601946653,0.3081329733050501
182,2002-01-16,,,0.21108645360956024,0.20084692132057835,0.2434926238290509
183,2002-01-17,,,0.23915457227125383,0.16433244860496476,0.19241257182969582
184,2002-01-18,,,0.25063392130309875,0.13445639837017753,0.15204812866984563
185,2002-01-22,,,0.22821022201701874,0.11001188880315688,0.12015136647341426
186,2002-01-23,1.0,,0.1933038483868933,1.0,0.0
187,2002-01-24,,,0.1600630237985944,0.6167696762457638,
188,2002-01-25,,,0.141937315981438,0.38040483353630433,
189,2002-01-28,,,0.1642958599423497,0.2346221660225101,
190,2002-01-29,,1.0,0.16410301124207669,0.1447078373777834,1.0
191,2002-01-30,,,0.16409632504626193,0.0,0.6634793635498856
192,2002-01-31,1.0,,0.16204566699363396,1.0,0.44020486585656127
193,2002-02-01,,1.0,0.1509571795366763,0.6669006681406296,1.0
194,2002-02-04,,,0.14436703684390856,0.4447565011664183,0.6856465969180863
195,2002-02-05,,,0.19360295078435996,0.29660840778777314,0.4701112558653527
196,2002-02-06,,,0.26897385941148116,0.19780834532979424,0.32233018275696673
197,2002-02-07,,,0.3368841351802848,0.13191851766423218,0.2210045928912991
198,2002-02-08,,,0.3629192502535915,0.0,0.1515310470191863
199,2002-02-11,,,0.33898913805394415,,0.10389674671613959
200,2002-02-12,,,0.3290049696806652,,0.0
201,2002-02-13,1.0,,0.3023364406327892,1.0,
202,2002-02-14,,,0.24302259929476175,0.4696154542672858,
203,2002-02-15,,,0.16798540096128914,0.22053867488666923,
204,2002-02-19,,,0.11458117440845952,0.10356836999040844,
205,2002-02-20,,,0.09634408355385454,0.0,
206,2002-02-21,,,0.09757661391848976,,
207,2002-02-22,,,0.08735556602944217,,
208,2002-02-25,,,0.09619091108174685,,
209,2002-02-26,,,0.1392005418492242,,
210,2002-02-27,,,0.18972391161668123,,
211,2002-02-28,,,0.251890046452162,,
212,2002-03-01,,,0.32714760002155285,,
213,2002-03-04,,,0.4211422268039897,,
214,2002-03-05,,,0.480984634377328,,
215,2002-03-06,,,0.5392517415938214,,
216,2002-03-07,,,0.5839891423102612,,
217,2002-03-08,,,0.6150180220183897,,
218,2002-03-11,,,0.6421742580805725,,
219,2002-03-12,,,0.6628192984028207,,
220,2002-03-13,,,0.6601889578842156,,
221,2002-03-14,,,0.6271701318034798,,
222,2002-03-15,,,0.5962860330363594,,
223,2002-03-18,,,0.5773013788306393,,
224,2002-03-19,,,0.5396091843777339,,
225,2002-03-20,,,0.490511114951068,,
226,2002-03-21,,,0.4341707606575541,,
227,2002-03-22,,1.0,0.38989805790301046,,1.0
228,2002-03-25,,,0.3472018763119243,,0.3772884952624712
229,2002-03-26,,,0.31860721731085445,,0.14234660865741977
230,2002-03-27,,,0.28801426520683227,,0.0
231,2002-03-28,,,0.23004882122629972,,
232,2002-04-01,,,0.1889034520263488,,
233,2002-04-02,,,0.16400244552464033,,
234,2002-04-03,,,0.14964859700904057,,
235,2002-04-04,,,0.13223306134301213,,
236,2002-04-05,,,0.11385072466775706,,
237,2002-04-08,,,0.11301363148706438,,
238,2002-04-09,,,0.1199812824201054,,
239,2002-04-10,,,0.14663871869584427,,
240,2002-04-11,,,0.15909451615245743,,
241,2002-04-12,,,0.17320006130961874,,
242,2002-04-15,,,0.1742233667400536,,
243,2002-04-16,,,0.1879966740920151,,
244,2002-04-17,,,0.20222467286508214,,
245,2002-04-18,,,0.21287217130814584,,
246,2002-04-19,1.0,,0.2328036177209022,1.0,
247,2002-04-22,,,0.25162577510693496,0.5587746351332997,
248,2002-04-23,,,0.2810277433467381,0.31222909286835226,
249,2002-04-24,,,0.3076750607509413,0.17446569744551468,
250,2002-04-25,,1.0,0.3052385156554109,0.0,1.0
251,2002-04-26,,,0.30285828789457664,,0.4662206359801029
252,2002-04-29,,,0.27697894335332146,,0.21736168141369158
253,2002-04-30,,,0.2619113446403366,,0.1013385013463958
254,2002-05-01,,,0.2504195473097957,,0.0
255,2002-05-02,1.0,,0.2525762142042591,1.0,
256,2002-05-03,,,0.276836492284645,0.5318251359415709,
257,2002-05-06,,,0.2855049660838871,0.2828379752192704,
258,2002-05-07,,,0.2984006064977964,0.15042034462042714,
259,2002-05-08,,,0.31835647357100605,0.0,
260,2002-05-09,,,0.33449934260422837,,
261,2002-05-10,,,0.3430022996547382,,
262,2002-05-13,,,0.3467121113481292,,
263,2002-05-14,,,0.36640523791464485,,
264,2002-05-15,,,0.3861044931987712,,
265,2002-05-16,,,0.41808801230681086,,
266,2002-05-17,,,0.4621376171011285,,
267,2002-05-20,,,0.47752707267061784,,
268,2002-05-21,,,0.4596015716810326,,
