,Date,pos_k,neg_k,pos_k_hl,neg_k_hl
0,2001-04-23,,,,
1,2001-04-24,,,,
2,2001-04-25,,,,
3,2001-04-26,,,,
4,2001-04-27,,,,
5,2001-04-30,,,,
6,2001-05-01,,,,
7,2001-05-02,,,,
8,2001-05-03,,,,
9,2001-05-04,,,,
10,2001-05-07,,,,
11,2001-05-08,,,,
12,2001-05-09,,,,
13,2001-05-10,,,,
14,2001-05-11,,,,
15,2001-05-14,,,,
16,2001-05-15,,,,
17,2001-05-16,,,,
18,2001-05-17,,,,
19,2001-05-18,,,,
20,2001-05-21,,,,
21,2001-05-22,,,,
22,2001-05-23,,,,
23,2001-05-24,,,,
24,2001-05-25,,,,
25,2001-05-29,,,,
26,2001-05-30,,,,
27,2001-05-31,,,,
28,2001-06-01,,,,
29,2001-06-04,,,,
30,2001-06-05,,,,
31,2001-06-06,,,,
32,2001-06-07,,,,
33,2001-06-08,,,,
34,2001-06-11,,,,
35,2001-06-12,,,,
36,2001-06-13,,,,
37,2001-06-14,,,,
38,2001-06-15,,,,
39,2001-06-18,,,,
40,2001-06-19,,,,
41,2001-06-20,,,,
42,2001-06-21,,,,
43,2001-06-22,,,,
44,2001-06-25,,,,
45,2001-06-26,,,,
46,2001-06-27,,,,
47,2001-06-28,,,,
48,2001-06-29,,,,
49,2001-07-02,,,,
50,2001-07-03,,,,
51,2001-07-05,,,,
52,2001-07-06,,,,
53,2001-07-09,,,,
54,2001-07-10,,,,
55,2001-07-11,,,,
56,2001-07-12,,,,
57,2001-07-13,1.0,,1.0,
58,2001-07-16,0.9,,0.8705505632961241,
59,2001-07-17,0.8,,0.757858283255199,
60,2001-07-18,0.7,,0.6597539553864471,
61,2001-07-19,0.6,,0.5743491774985174,
62,2001-07-20,0.5,,0.5,
63,2001-07-23,0.4,,0.43527528164806206,
64,2001-07-24,0.3,,0.37892914162759955,
65,2001-07-25,0.2,,0.32987697769322355,
66,2001-07-26,0.1,,0.2871745887492587,
67,2001-07-27,,,0.25,
68,2001-07-30,,,0.217637640824031,
69,2001-07-31,,,0.18946457081379978,
70,2001-08-01,,,0.16493848884661177,
71,2001-08-02,,,0.1435872943746294,
72,2001-08-03,,,0.125,
73,2001-08-06,,,0.1088188204120155,
74,2001-08-07,,,0.0,
75,2001-08-08,,,,
76,2001-08-09,,1.0,,1.0
77,2001-08-10,,0.9,,0.8705505632961241
78,2001-08-13,,0.8,,0.757858283255199
79,2001-08-14,,0.7,,0.6597539553864471
80,2001-08-15,,0.6,,0.5743491774985174
81,2001-08-16,,0.5,,0.5
82,2001-08-17,,0.4,,0.43527528164806206
83,2001-08-20,,0.3,,0.37892914162759955
84,2001-08-21,,0.2,,0.32987697769322355
85,2001-08-22,,0.1,,0.2871745887492587
86,2001-08-23,,,,0.25
87,2001-08-24,,,,0.217637640824031
88,2001-08-27,1.0,,1.0,0.18946457081379978
89,2001-08-28,0.9,,0.8705505632961241,0.16493848884661177
90,2001-08-29,0.8,,0.757858283255199,0.1435872943746294
91,2001-08-30,0.7,,0.6597539553864471,0.125
92,2001-08-31,0.6,,0.5743491774985174,0.1088188204120155
93,2001-09-04,0.5,,0.5,0.0
94,2001-09-05,0.4,,0.43527528164806206,
95,2001-09-06,0.3,,0.37892914162759955,
96,2001-09-07,0.2,1.0,0.32987697769322355,1.0
97,2001-09-10,0.1,0.9,0.2871745887492587,0.8705505632961241
98,2001-09-17,,0.8,0.25,0.757858283255199
99,2001-09-18,,0.7,0.217637640824031,0.6597539553864471
100,2001-09-19,,0.6,0.18946457081379978,0.5743491774985174
101,2001-09-20,,0.5,0.16493848884661177,0.5
102,2001-09-21,,0.4,0.1435872943746294,0.43527528164806206
103,2001-09-24,,0.3,0.125,0.37892914162759955
104,2001-09-25,,0.2,0.1088188204120155,0.32987697769322355
105,2001-09-26,,0.1,0.0,0.2871745887492587
106,2001-09-27,,,,0.25
107,2001-09-28,,,,0.217637640824031
108,2001-10-01,1.0,,1.0,0.18946457081379978
109,2001-10-02,0.9,,0.8705505632961241,0.16493848884661177
110,2001-10-03,0.8,,0.757858283255199,0.1435872943746294
111,2001-10-04,0.7,,0.6597539553864471,0.125
112,2001-10-05,0.6,,0.5743491774985174,0.1088188204120155
113,2001-10-08,0.5,,0.5,0.0
114,2001-10-09,0.4,,0.43527528164806206,
115,2001-10-10,0.3,,0.37892914162759955,
116,2001-10-11,0.2,,0.32987697769322355,
117,2001-10-12,0.1,,0.2871745887492587,
118,2001-10-15,,,0.25,
119,2001-10-16,,,0.217637640824031,
120,2001-10-17,,,0.18946457081379978,
121,2001-10-18,,,0.16493848884661177,
122,2001-10-19,,,0.1435872943746294,
123,2001-10-22,,,0.125,
124,2001-10-23,,,0.1088188204120155,
125,2001-10-24,,,0.0,
126,2001-10-25,,,,
127,2001-10-26,,,,
128,2001-10-29,,1.0,,1.0
129,2001-10-30,,0.9,,0.8705505632961241
130,2001-10-31,,0.8,,0.757858283255199
131,2001-11-01,,0.7,,0.6597539553864471
132,2001-11-02,,0.6,,0.5743491774985174
133,2001-11-05,1.0,0.5,1.0,0.5
134,2001-11-06,0.9,0.4,0.8705505632961241,0.43527528164806206
135,2001-11-07,0.8,0.3,0.757858283255199,0.37892914162759955
136,2001-11-08,0.7,0.2,0.6597539553864471,0.32987697769322355
137,2001-11-09,0.6,0.1,0.5743491774985174,0.2871745887492587
138,2001-11-12,0.5,,0.5,0.25
139,2001-11-13,0.4,,0.43527528164806206,0.217637640824031
140,2001-11-14,0.3,,0.37892914162759955,0.18946457081379978
141,2001-11-15,0.2,,0.32987697769322355,0.16493848884661177
142,2001-11-16,0.1,,0.2871745887492587,0.1435872943746294
143,2001-11-19,,,0.25,0.125
144,2001-11-20,,,0.217637640824031,0.1088188204120155
145,2001-11-21,,,0.18946457081379978,0.0
146,2001-11-23,,1.0,0.16493848884661177,1.0
147,2001-11-26,1.0,0.9,1.0,0.8705505632961241
148,2001-11-27,0.9,1.0,0.8705505632961241,1.0
149,2001-11-28,0.8,0.9,0.757858283255199,0.8705505632961241
150,2001-11-29,0.7,0.8,0.6597539553864471,0.757858283255199
151,2001-11-30,0.6,0.7,0.5743491774985174,0.6597539553864471
152,2001-12-03,0.5,0.6,0.5,0.5743491774985174
153,2001-12-04,0.4,0.5,0.43527528164806206,0.5
154,2001-12-05,0.3,0.4,0.37892914162759955,0.43527528164806206
155,2001-12-06,0.2,0.3,0.32987697769322355,0.37892914162759955
156,2001-12-07,0.1,0.2,0.2871745887492587,0.32987697769322355
157,2001-12-10,,0.1,0.25,0.2871745887492587
158,2001-12-11,,,0.217637640824031,0.25
159,2001-12-12,,,0.18946457081379978,0.217637640824031
160,2001-12-13,,,0.16493848884661177,0.18946457081379978
161,2001-12-14,,,0.1435872943746294,0.16493848884661177
162,2001-12-17,,,0.125,0.1435872943746294
163,2001-12-18,,,0.1088188204120155,0.125
164,2001-12-19,,,0.0,0.1088188204120155
165,2001-12-20,,,,0.0
166,2001-12-21,,,,
167,2001-12-24,,,,
168,2001-12-26,,,,
169,2001-12-27,,,,
170,2001-12-28,,,,
171,2001-12-31,,,,
172,2002-01-02,,,,
173,2002-01-03,,,,
174,2002-01-04,1.0,,1.0,
175,2002-01-07,0.9,,0.8705505632961241,
176,2002-01-08,0.8,1.0,0.757858283255199,1.0
177,2002-01-09,0.7,0.9,0.6597539553864471,0.8705505632961241
178,2002-01-10,0.6,0.8,0.5743491774985174,0.757858283255199
179,2002-01-11,0.5,0.7,0.5,0.6597539553864471
180,2002-01-14,0.4,0.6,0.43527528164806206,0.5743491774985174
181,2002-01-15,0.3,0.5,0.37892914162759955,0.5
182,2002-01-16,0.2,0.4,0.32987697769322355,0.43527528164806206
183,2002-01-17,0.1,0.3,0.2871745887492587,0.37892914162759955
184,2002-01-18,,0.2,0.25,0.32987697769322355
185,2002-01-22,,0.1,0.217637640824031,0.2871745887492587
186,2002-01-23,,,0.18946457081379978,0.25
187,2002-01-24,,,0.16493848884661177,0.217637640824031
188,2002-01-25,,,0.1435872943746294,0.18946457081379978
189,2002-01-28,,,0.125,0.16493848884661177
190,2002-01-29,,,0.1088188204120155,0.1435872943746294
191,2002-01-30,,,0.0,0.125
192,2002-01-31,,,,0.1088188204120155
193,2002-02-01,,,,0.0
194,2002-02-04,,,,
195,2002-02-05,,,,
196,2002-02-06,,,,
197,2002-02-07,,,,
198,2002-02-08,,,,
199,2002-02-11,,,,
200,2002-02-12,,,,
201,2002-02-13,1.0,,1.0,
202,2002-02-14,0.9,,0.8705505632961241,
203,2002-02-15,0.8,,0.757858283255199,
204,2002-02-19,0.7,1.0,0.6597539553864471,1.0
205,2002-02-20,0.6,0.9,0.5743491774985174,0.8705505632961241
206,2002-02-21,0.5,0.8,0.5,0.757858283255199
207,2002-02-22,0.4,0.7,0.43527528164806206,0.6597539553864471
208,2002-02-25,0.3,0.6,0.37892914162759955,0.5743491774985174
209,2002-02-26,1.0,0.5,1.0,0.5
210,2002-02-27,0.9,0.4,0.8705505632961241,0.43527528164806206
211,2002-02-28,0.8,0.3,0.757858283255199,0.37892914162759955
212,2002-03-01,0.7,0.2,0.6597539553864471,0.32987697769322355
213,2002-03-04,0.6,0.1,0.5743491774985174,0.2871745887492587
214,2002-03-05,0.5,,0.5,0.25
215,2002-03-06,0.4,,0.43527528164806206,0.217637640824031
216,2002-03-07,0.3,,0.37892914162759955,0.18946457081379978
217,2002-03-08,0.2,,0.32987697769322355,0.16493848884661177
218,2002-03-11,0.1,,0.2871745887492587,0.1435872943746294
219,2002-03-12,,,0.25,0.125
220,2002-03-13,,,0.217637640824031,0.1088188204120155
221,2002-03-14,,,0.18946457081379978,0.0
222,2002-03-15,,,0.16493848884661177,
223,2002-03-18,,,0.1435872943746294,
224,2002-03-19,,,0.125,
225,2002-03-20,,,0.1088188204120155,
226,2002-03-21,,,0.0,
227,2002-03-22,,,,
228,2002-03-25,,1.0,,1.0
229,2002-03-26,,0.9,,0.8705505632961241
230,2002-03-27,,0.8,,0.757858283255199
231,2002-03-28,,0.7,,0.6597539553864471
232,2002-04-01,,0.6,,0.5743491774985174
233,2002-04-02,,0.5,,0.5
234,2002-04-03,,0.4,,0.43527528164806206
235,2002-04-04,,0.3,,0.37892914162759955
236,2002-04-05,,0.2,,0.32987697769322355
237,2002-04-08,,0.1,,0.2871745887492587
238,2002-04-09,,,,0.25
239,2002-04-10,,,,0.217637640824031
240,2002-04-11,,,,0.18946457081379978
241,2002-04-12,,,,0.16493848884661177
242,2002-04-15,,,,0.1435872943746294
243,2002-04-16,,,,0.125
244,2002-04-17,,,,0.1088188204120155
245,2002-04-18,,,,0.0
246,2002-04-19,,,,
247,2002-04-22,,,,
248,2002-04-23,,,,
249,2002-04-24,,,,
250,2002-04-25,,,,
251,2002-04-26,,,,
252,2002-04-29,,,,
253,2002-04-30,,,,
254,2002-05-01,,,,
255,2002-05-02,,,,
256,2002-05-03,,,,
257,2002-05-06,,,,
258,2002-05-07,,,,
259,2002-05-08,,,,
260,2002-05-09,,,,
261,2002-05-10,,,,
262,2002-05-13,1.0,,1.0,
263,2002-05-14,0.9,,0.8705505632961241,
264,2002-05-15,0.8,,0.757858283255199,
265,2002-05-16,0.7,,0.6597539553864471,
266,2002-05-17,0.6,,0.5743491774985174,
267,2002-05-20,0.5,,0.5,
268,2002-05-21,0.4,,0.43527528164806206,
269,2002-05-22,0.3,,0.37892914162759955,
270,2002-05-23,0.2,,0.32987697769322355,
271,2002-05-24,0.1,,0.2871745887492587,
272,2002-05-28,,,0.25,
273,2002-05-29,,,0.217637640824031,
274,2002-05-30,,1.0,0.18946457081379978,1.0
275,2002-05-31,,0.9,0.16493848884661177,0.8705505632961241
276,2002-06-03,,0.8,0.1435872943746294,0.757858283255199
277,2002-06-04,,0.7,0.125,0.6597539553864471
278,2002-06-05,,0.6,0.1088188204120155,0.5743491774985174
279,2002-06-06,,0.5,0.0,0.5
280,2002-06-07,,0.4,,0.43527528164806206
281,2002-06-10,,0.3,,0.37892914162759955
282,2002-06-11,,0.2,,0.32987697769322355
283,2002-06-12,,0.1,,0.2871745887492587
284,2002-06-13,,,,0.25
285,2002-06-14,,,,0.217637640824031
286,2002-06-17,1.0,,1.0,0.18946457081379978
287,2002-06-18,0.9,,0.8705505632961241,0.16493848884661177
288,2002-06-19,0.8,,0.757858283255199,0.1435872943746294
289,2002-06-20,0.7,,0.6597539553864471,0.125
290,2002-06-21,0.6,,0.5743491774985174,0.1088188204120155
291,2002-06-24,0.5,1.0,0.5,1.0
292,2002-06-25,0.4,0.9,0.43527528164806206,0.8705505632961241
293,2002-06-26,0.3,0.8,0.37892914162759955,0.757858283255199
294,2002-06-27,1.0,0.7,1.0,0.6597539553864471
295,2002-06-28,0.9,0.6,0.8705505632961241,0.5743491774985174
296,2002-07-01,0.8,0.5,0.757858283255199,0.5
297,2002-07-02,0.7,0.4,0.6597539553864471,0.43527528164806206
298,2002-07-03,0.6,1.0,0.5743491774985174,1.0
299,2002-07-05,1.0,0.9,1.0,0.8705505632961241
300,2002-07-08,0.9,0.8,0.8705505632961241,0.757858283255199
301,2002-07-09,0.8,0.7,0.757858283255199,0.6597539553864471
302,2002-07-10,0.7,0.6,0.6597539553864471,0.5743491774985174
