,Date,pos_k,neg_k,pos_k_hl,neg_k_hl
0,2001-04-23,,,,
1,2001-04-24,,,,
2,2001-04-25,,,,
3,2001-04-26,,,,
4,2001-04-27,,,,
5,2001-04-30,,,,
6,2001-05-01,,,,
7,2001-05-02,,,,
8,2001-05-03,,,,
9,2001-05-04,,,,
10,2001-05-07,,,,
11,2001-05-08,,,,
12,2001-05-09,,,,
13,2001-05-10,,,,
14,2001-05-11,,,,
15,2001-05-14,,,,
16,2001-05-15,,,,
17,2001-05-16,,,,
18,2001-05-17,,,,
19,2001-05-18,,,,
20,2001-05-21,,,,
21,2001-05-22,,,,
22,2001-05-23,,,,
23,2001-05-24,,,,
24,2001-05-25,,,,
25,2001-05-29,,,,
26,2001-05-30,,,,
27,2001-05-31,,,,
28,2001-06-01,,,,
29,2001-06-04,,,,
30,2001-06-05,,,,
31,2001-06-06,,,,
32,2001-06-07,,,,
33,2001-06-08,,,,
34,2001-06-11,,,,
35,2001-06-12,1.0,,1.0,
36,2001-06-13,1.0,,1.0,
37,2001-06-14,1.0,,1.0,
38,2001-06-15,1.0,,1.0,
39,2001-06-18,1.0,,1.0,
40,2001-06-19,0.9,,0.8705505632961241,
41,2001-06-20,0.8,,0.757858283255199,
42,2001-06-21,0.7,,0.6597539553864471,
43,2001-06-22,0.6,,0.5743491774985174,
44,2001-06-25,0.5,,0.5,
45,2001-06-26,0.4,,0.43527528164806206,
46,2001-06-27,0.3,,0.37892914162759955,
47,2001-06-28,0.2,,0.32987697769322355,
48,2001-06-29,0.1,,0.2871745887492587,
49,2001-07-02,,,0.25,
50,2001-07-03,,,0.217637640824031,
51,2001-07-05,,,0.18946457081379978,
52,2001-07-06,,,0.16493848884661177,
53,2001-07-09,,,0.1435872943746294,
54,2001-07-10,1.0,,1.0,
55,2001-07-11,1.0,,1.0,
56,2001-07-12,1.0,,1.0,
57,2001-07-13,0.9,,0.8705505632961241,
58,2001-07-16,0.8,,0.757858283255199,
59,2001-07-17,1.0,,1.0,
60,2001-07-18,0.9,,0.8705505632961241,
61,2001-07-19,0.8,,0.757858283255199,
62,2001-07-20,0.7,,0.6597539553864471,
63,2001-07-23,0.6,,0.5743491774985174,
64,2001-07-24,0.5,,0.5,
65,2001-07-25,0.4,,0.43527528164806206,
66,2001-07-26,0.3,,0.37892914162759955,
67,2001-07-27,0.2,,0.32987697769322355,
68,2001-07-30,0.1,,0.2871745887492587,
69,2001-07-31,,,0.25,
70,2001-08-01,,,0.217637640824031,
71,2001-08-02,,,0.18946457081379978,
72,2001-08-03,,,0.16493848884661177,
73,2001-08-06,,,0.1435872943746294,
74,2001-08-07,,,0.125,
75,2001-08-08,,,0.1088188204120155,
76,2001-08-09,,,0.0,
77,2001-08-10,,,,
78,2001-08-13,,,,
79,2001-08-14,,,,
80,2001-08-15,,,,
81,2001-08-16,,,,
82,2001-08-17,,,,
83,2001-08-20,,,,
84,2001-08-21,,,,
85,2001-08-22,1.0,,1.0,
86,2001-08-23,1.0,,1.0,
87,2001-08-24,0.9,,0.8705505632961241,
88,2001-08-27,0.8,,0.757858283255199,
89,2001-08-28,0.7,,0.6597539553864471,
90,2001-08-29,0.6,,0.5743491774985174,
91,2001-08-30,0.5,,0.5,
92,2001-08-31,0.4,,0.43527528164806206,
93,2001-09-04,0.3,,0.37892914162759955,
94,2001-09-05,0.2,,0.32987697769322355,
95,2001-09-06,0.1,,0.2871745887492587,
96,2001-09-07,,,0.25,
97,2001-09-10,,,0.217637640824031,
98,2001-09-17,,,0.18946457081379978,
99,2001-09-18,,,0.16493848884661177,
100,2001-09-19,1.0,,1.0,
101,2001-09-20,1.0,,1.0,
102,2001-09-21,1.0,,1.0,
103,2001-09-24,1.0,,1.0,
104,2001-09-25,1.0,,1.0,
105,2001-09-26,1.0,,1.0,
106,2001-09-27,1.0,,1.0,
107,2001-09-28,1.0,,1.0,
108,2001-10-01,0.9,,0.8705505632961241,
109,2001-10-02,0.8,,0.757858283255199,
110,2001-10-03,0.7,,0.6597539553864471,
111,2001-10-04,0.6,,0.5743491774985174,
112,2001-10-05,0.5,,0.5,
113,2001-10-08,0.4,,0.43527528164806206,
114,2001-10-09,0.3,,0.37892914162759955,
115,2001-10-10,0.2,1.0,0.32987697769322355,1.0
116,2001-10-11,0.1,1.0,0.2871745887492587,1.0
117,2001-10-12,,1.0,0.25,1.0
118,2001-10-15,,1.0,0.217637640824031,1.0
119,2001-10-16,,1.0,0.18946457081379978,1.0
120,2001-10-17,,1.0,0.16493848884661177,1.0
121,2001-10-18,,1.0,0.1435872943746294,1.0
122,2001-10-19,,0.9,0.125,0.8705505632961241
123,2001-10-22,,0.8,0.1088188204120155,0.757858283255199
124,2001-10-23,,0.7,0.0,0.6597539553864471
125,2001-10-24,,0.6,,0.5743491774985174
126,2001-10-25,,0.5,,0.5
127,2001-10-26,,0.4,,0.43527528164806206
128,2001-10-29,,0.3,,0.37892914162759955
129,2001-10-30,,0.2,,0.32987697769322355
130,2001-10-31,,0.1,,0.2871745887492587
131,2001-11-01,,,,0.25
132,2001-11-02,,,,0.217637640824031
133,2001-11-05,,,,0.18946457081379978
134,2001-11-06,,,,0.16493848884661177
135,2001-11-07,,,,0.1435872943746294
136,2001-11-08,,,,0.125
137,2001-11-09,,,,0.1088188204120155
138,2001-11-12,,,,0.0
139,2001-11-13,,,,
140,2001-11-14,,1.0,,1.0
141,2001-11-15,,1.0,,1.0
142,2001-11-16,,0.9,,0.8705505632961241
143,2001-11-19,,0.8,,0.757858283255199
144,2001-11-20,,1.0,,1.0
145,2001-11-21,,1.0,,1.0
146,2001-11-23,,0.9,,0.8705505632961241
147,2001-11-26,,0.8,,0.757858283255199
148,2001-11-27,,0.7,,0.6597539553864471
149,2001-11-28,,0.6,,0.5743491774985174
150,2001-11-29,,0.5,,0.5
151,2001-11-30,,0.4,,0.43527528164806206
152,2001-12-03,,0.3,,0.37892914162759955
153,2001-12-04,,0.2,,0.32987697769322355
154,2001-12-05,,0.1,,0.2871745887492587
155,2001-12-06,,,,0.25
156,2001-12-07,,,,0.217637640824031
157,2001-12-10,,,,0.18946457081379978
158,2001-12-11,,,,0.16493848884661177
159,2001-12-12,,,,0.1435872943746294
160,2001-12-13,,,,0.125
161,2001-12-14,,,,0.1088188204120155
162,2001-12-17,,,,0.0
163,2001-12-18,,,,
164,2001-12-19,,,,
165,2001-12-20,,,,
166,2001-12-21,,,,
167,2001-12-24,,,,
168,2001-12-26,,,,
169,2001-12-27,,,,
170,2001-12-28,,,,
171,2001-12-31,,,,
172,2002-01-02,,,,
173,2002-01-03,,,,
174,2002-01-04,,,,
175,2002-01-07,,,,
176,2002-01-08,,,,
177,2002-01-09,,,,
178,2002-01-10,,,,
179,2002-01-11,,,,
180,2002-01-14,,,,
181,2002-01-15,,,,
182,2002-01-16,,,,
183,2002-01-17,,,,
184,2002-01-18,,,,
185,2002-01-22,,,,
186,2002-01-23,,,,
187,2002-01-24,,,,
188,2002-01-25,,,,
189,2002-01-28,1.0,,1.0,
190,2002-01-29,1.0,,1.0,
191,2002-01-30,1.0,,1.0,
192,2002-01-31,1.0,,1.0,
193,2002-02-01,0.9,,0.8705505632961241,
194,2002-02-04,0.8,,0.757858283255199,
195,2002-02-05,0.7,,0.6597539553864471,
196,2002-02-06,1.0,,1.0,
197,2002-02-07,0.9,,0.8705505632961241,
198,2002-02-08,1.0,,1.0,
199,2002-02-11,0.9,,0.8705505632961241,
200,2002-02-12,0.8,,0.757858283255199,
201,2002-02-13,0.7,,0.6597539553864471,
202,2002-02-14,0.6,,0.5743491774985174,
203,2002-02-15,0.5,,0.5,
204,2002-02-19,0.4,,0.43527528164806206,
205,2002-02-20,0.3,,0.37892914162759955,
206,2002-02-21,0.2,,0.32987697769322355,
207,2002-02-22,0.1,,0.2871745887492587,
208,2002-02-25,,,0.25,
209,2002-02-26,,,0.217637640824031,
210,2002-02-27,,,0.18946457081379978,
211,2002-02-28,,,0.16493848884661177,
212,2002-03-01,,,0.1435872943746294,
213,2002-03-04,,,0.125,
214,2002-03-05,,,0.1088188204120155,
215,2002-03-06,,,0.0,
216,2002-03-07,,,,
217,2002-03-08,,,,
218,2002-03-11,,,,
219,2002-03-12,,1.0,,1.0
220,2002-03-13,,1.0,,1.0
221,2002-03-14,,1.0,,1.0
222,2002-03-15,,1.0,,1.0
223,2002-03-18,,1.0,,1.0
224,2002-03-19,,1.0,,1.0
225,2002-03-20,,1.0,,1.0
226,2002-03-21,,1.0,,1.0
227,2002-03-22,,0.9,,0.8705505632961241
228,2002-03-25,,0.8,,0.757858283255199
229,2002-03-26,,0.7,,0.6597539553864471
230,2002-03-27,,0.6,,0.5743491774985174
231,2002-03-28,,0.5,,0.5
232,2002-04-01,,0.4,,0.43527528164806206
233,2002-04-02,,0.3,,0.37892914162759955
234,2002-04-03,,0.2,,0.32987697769322355
235,2002-04-04,,0.1,,0.2871745887492587
236,2002-04-05,,,,0.25
237,2002-04-08,,,,0.217637640824031
238,2002-04-09,,,,0.18946457081379978
239,2002-04-10,1.0,,1.0,0.16493848884661177
240,2002-04-11,1.0,,1.0,0.1435872943746294
241,2002-04-12,1.0,,1.0,0.125
242,2002-04-15,1.0,,1.0,0.1088188204120155
243,2002-04-16,1.0,,1.0,0.0
244,2002-04-17,0.9,,0.8705505632961241,
245,2002-04-18,0.8,,0.757858283255199,
246,2002-04-19,0.7,,0.6597539553864471,
247,2002-04-22,0.6,,0.5743491774985174,
248,2002-04-23,0.5,,0.5,
249,2002-04-24,0.4,,0.43527528164806206,
250,2002-04-25,0.3,,0.37892914162759955,
251,2002-04-26,0.2,,0.32987697769322355,
252,2002-04-29,0.1,,0.2871745887492587,
253,2002-04-30,,,0.25,
254,2002-05-01,,,0.217637640824031,
255,2002-05-02,,,0.18946457081379978,
256,2002-05-03,,,0.16493848884661177,
257,2002-05-06,,,0.1435872943746294,
258,2002-05-07,1.0,,1.0,
259,2002-05-08,1.0,,1.0,
260,2002-05-09,0.9,,0.8705505632961241,
261,2002-05-10,0.8,,0.757858283255199,
262,2002-05-13,0.7,,0.6597539553864471,
263,2002-05-14,0.6,,0.5743491774985174,
264,2002-05-15,0.5,,0.5,
265,2002-05-16,0.4,,0.43527528164806206,
266,2002-05-17,0.3,,0.37892914162759955,
267,2002-05-20,0.2,,0.32987697769322355,
268,2002-05-21,0.1,,0.2871745887492587,
269,2002-05-22,,,0.25,
270,2002-05-23,,,0.217637640824031,
271,2002-05-24,,,0.18946457081379978,
272,2002-05-28,,,0.16493848884661177,
273,2002-05-29,,,0.1435872943746294,
274,2002-05-30,,,0.125,
275,2002-05-31,,,0.1088188204120155,
276,2002-06-03,,,0.0,
277,2002-06-04,,,,
278,2002-06-05,1.0,,1.0,
279,2002-06-06,0.9,,0.8705505632961241,
280,2002-06-07,1.0,,1.0,
281,2002-06-10,1.0,,1.0,
282,2002-06-11,1.0,,1.0,
283,2002-06-12,1.0,,1.0,
284,2002-06-13,0.9,,0.8705505632961241,
285,2002-06-14,1.0,,1.0,
286,2002-06-17,0.9,,0.8705505632961241,
287,2002-06-18,0.8,,0.757858283255199,
288,2002-06-19,0.7,,0.6597539553864471,
289,2002-06-20,0.6,,0.5743491774985174,
290,2002-06-21,0.5,,0.5,
291,2002-06-24,0.4,,0.43527528164806206,
292,2002-06-25,0.3,,0.37892914162759955,
293,2002-06-26,0.2,,0.32987697769322355,
294,2002-06-27,0.1,,0.2871745887492587,
295,2002-06-28,,,0.25,
296,2002-07-01,,,0.217637640824031,
297,2002-07-02,,,0.18946457081379978,
298,2002-07-03,,,0.16493848884661177,
299,2002-07-05,,,0.1435872943746294,
300,2002-07-08,,,0.125,
301,2002-07-09,,,0.1088188204120155,
302,2002-07-10,,,0.0,
303,2002-07-11,,,,
304,2002-07-12,,,,
305,2002-07-15,,,,
306,2002-07-16,,,,
307,2002-07-17,,,,
308,2002-07-18,,,,
309,2002-07-19,,,,
310,2002-07-22,,,,
311,2002-07-23,,,,
312,2002-07-24,,,,
313,2002-07-25,,,,
314,2002-07-26,,,,
315,2002-07-29,,,,
316,2002-07-30,,,,
317,2002-07-31,,,,
318,2002-08-01,,,,
319,2002-08-02,,,,
320,2002-08-05,,,,
321,2002-08-06,,,,
322,2002-08-07,,,,
323,2002-08-08,,,,
324,2002-08-09,,,,
325,2002-08-12,,,,
326,2002-08-13,,,,
327,2002-08-14,,,,
328,2002-08-15,,1.0,,1.0
329,2002-08-16,,1.0,,1.0
330,2002-08-19,,0.9,,0.8705505632961241
331,2002-08-20,,0.8,,0.757858283255199
332,2002-08-21,,0.7,,0.6597539553864471
333,2002-08-22,,0.6,,0.5743491774985174
334,2002-08-23,,1.0,,1.0
335,2002-08-26,,1.0,,1.0
336,2002-08-27,,1.0,,1.0
337,2002-08-28,,1.0,,1.0
338,2002-08-29,,0.9,,0.8705505632961241
339,2002-08-30,,0.8,,0.757858283255199
340,2002-09-03,,0.7,,0.6597539553864471
341,2002-09-04,,0.6,,0.5743491774985174
342,2002-09-05,,0.5,,0.5
343,2002-09-06,,0.4,,0.43527528164806206
344,2002-09-09,,0.3,,0.37892914162759955
345,2002-09-10,,0.2,,0.32987697769322355
346,2002-09-11,,0.1,,0.2871745887492587
