,std,Date,pos_k,neg_k,pos_k_t,neg_k_t,pos_k_hl,neg_k_hl
0,,2001-04-23,,,,,,
1,,2001-04-24,,,,,,
2,,2001-04-25,,,,,,
3,,2001-04-26,,,,,,
4,,2001-04-27,,,,,,
5,,2001-04-30,,,,,,
6,,2001-05-01,,,,,,
7,,2001-05-02,,,,,,
8,,2001-05-03,,,,,,
9,,2001-05-04,,,,,,
10,,2001-05-07,,,,,,
11,,2001-05-08,,,,,,
12,,2001-05-09,,,,,,
13,,2001-05-10,,,,,,
14,,2001-05-11,,,,,,
15,,2001-05-14,,,,,,
16,,2001-05-15,,,,,,
17,,2001-05-16,,,,,,
18,,2001-05-17,,,,,,
19,,2001-05-18,,,,,,
20,0.2542259084154387,2001-05-21,,,,,,
21,0.2274518862851669,2001-05-22,,,,,,
22,0.2530300050582308,2001-05-23,,,,,,
23,0.3077306730497758,2001-05-24,,,,,,
24,0.34238784631729036,2001-05-25,,,,,,
25,0.36714689177449594,2001-05-29,,,,,,
26,0.3508999208716265,2001-05-30,,,,,,
27,0.3267189934903924,2001-05-31,,,,,,
28,0.2809910214328527,2001-06-01,,,,,,
29,0.20984397991844184,2001-06-04,,,,,,
30,0.1395370225301352,2001-06-05,,,,,,
31,0.12699503695555556,2001-06-06,,,,,,
32,0.23497308535125946,2001-06-07,,,,,,
33,0.4454827872409814,2001-06-08,,,,,,
34,0.6680011319791209,2001-06-11,,,,,,
35,0.8930450233236967,2001-06-12,,,,,,
36,1.0858671166506022,2001-06-13,,,,,,
37,1.2374505558488686,2001-06-14,,,,,,
38,1.3058716439638134,2001-06-15,,,,,,
39,1.2883755187801385,2001-06-18,,,,,,
40,1.1845838278058944,2001-06-19,,,,,,
41,1.007832696817663,2001-06-20,,,,,,
42,0.7744805847604348,2001-06-21,1.0,,0.0,,1.0,
43,0.5601684226308026,2001-06-22,,,1.0,,0.9139195114146916,
44,0.3658991261193308,2001-06-25,,,2.0,,0.5646544969991036,
45,0.2339898430722829,2001-06-26,,,3.0,,0.5901482526499106,
46,0.16833115012375002,2001-06-27,,,4.0,,0.917966171155251,
47,0.16775228317205546,2001-06-28,,,5.0,,0.967052486671997,
48,0.18779242659188253,2001-06-29,,,6.0,,0.7264571048226263,
49,0.19511530550701836,2001-07-02,,,7.0,,0.877840545910402,
50,0.19184167734466934,2001-07-03,,,8.0,,0.8097758847971251,
51,0.19053175451060622,2001-07-05,,,9.0,,0.33932671590313984,
52,0.18525434374463273,2001-07-06,,,10.0,,0.15841349654476075,
53,0.18335747034363278,2001-07-09,,,11.0,,0.9954042494840535,
54,0.25354969655559895,2001-07-10,,1.0,12.0,0.0,0.15226095816020999,1.0
55,0.38037639060600903,2001-07-11,,,13.0,1.0,0.30369134036185647,0.9124038482521515
56,0.5078842552147455,2001-07-12,,,14.0,2.0,0.0046659569955337194,0.46450621923962704
57,0.6156699072217628,2001-07-13,,,15.0,3.0,0.0003874206829437255,0.20779570200421393
58,0.7452917445217041,2001-07-16,,,16.0,4.0,0.24332993333071667,0.7023423951010677
59,0.8254454727205253,2001-07-17,,,17.0,5.0,8.426497520474744e-07,0.01634653154374613
60,0.8266694799032949,2001-07-18,,,18.0,6.0,0.0075405448715112075,0.19609547680253717
61,0.7541602102906676,2001-07-19,1.0,,0.0,7.0,1.0,0.03349186031266451
62,0.635074907796755,2001-07-20,,,1.0,8.0,0.6538720914462931,0.03341507264993436
63,0.4742731014424611,2001-07-23,,,2.0,9.0,0.905330275132208,0.6391925394327267
64,0.34824343447204814,2001-07-24,,,3.0,10.0,0.6463067095180307,0.23341506443446583
65,0.2547014762529157,2001-07-25,,,4.0,11.0,0.8606948369194785,0.661965405726632
66,0.1663468640402659,2001-07-26,,,5.0,12.0,0.6415395834711021,0.34461668366997134
67,0.07510070234210507,2001-07-27,,,6.0,13.0,0.8804186113789939,0.7588570357323597
68,0.08615279623589701,2001-07-30,,,7.0,14.0,0.6025885193915181,0.363112923702462
69,0.09015269400226095,2001-07-31,,,8.0,15.0,0.857886864059095,0.7502072963665437
70,0.09758461232988996,2001-08-01,,,9.0,16.0,0.6027356811184844,0.40655049314393854
71,0.10583240210380188,2001-08-02,,,10.0,17.0,0.5046685643753592,0.31268757975334566
72,0.1107704223936196,2001-08-03,,,11.0,18.0,0.7198970950727981,0.5840398856501894
73,0.11016603959357427,2001-08-06,,,12.0,19.0,0.41293981531402096,0.24650214461734318
74,0.10567974041234846,2001-08-07,,,13.0,20.0,0.4194610702516606,0.2627396588734799
75,0.12484294361929524,2001-08-08,,,14.0,21.0,0.9456017854123391,0.9195226371082477
76,0.1817768289136619,2001-08-09,,1.0,15.0,0.0,0.6388791637273572,1.0
77,0.23929579475557433,2001-08-10,,,16.0,1.0,0.1641571186729908,0.8932103207154944
78,0.28500203791281387,2001-08-13,,,17.0,2.0,0.4533888704076388,0.911139356839055
79,0.31765074463106946,2001-08-14,,,18.0,3.0,0.06626541407383782,0.6361328443735653
80,0.334983797810627,2001-08-15,,,19.0,4.0,0.005265245952574279,0.331358919872263
81,0.3316434857577369,2001-08-16,,,20.0,5.0,0.006074965157250259,0.2791810574231984
82,0.3219467283583717,2001-08-17,,,21.0,6.0,0.27227254563066405,0.6895607432435903
83,0.3243377036907931,2001-08-20,,,22.0,7.0,0.7349496349999987,0.9066623741227435
84,0.34841727357952945,2001-08-21,,,23.0,8.0,0.0025639524495387786,0.12553108793697057
85,0.3728732142041309,2001-08-22,,,24.0,9.0,0.013019511230157163,0.1963238242442886
86,0.4100965380288064,2001-08-23,,,25.0,10.0,0.4201144212794124,0.7068821838910748
87,0.4358200691589684,2001-08-24,,,26.0,11.0,0.019235831916396513,0.1879519995379614
88,0.44614043067182435,2001-08-27,,,27.0,12.0,1.7478041530297282e-05,0.007683380496688642
89,0.4499460209839383,2001-08-28,,,28.0,13.0,5.568403217199217e-06,0.0036351121460456277
90,0.46405945843427476,2001-08-29,,,29.0,14.0,0.008982152712137776,0.10279612918739257
91,0.48104724702883656,2001-08-30,,,30.0,15.0,0.1417953233721071,0.37655719800862536
92,0.500230517581374,2001-08-31,,,31.0,16.0,1.0992044141411076e-06,0.0008402869023342882
93,0.5090753689946115,2001-09-04,,,32.0,17.0,0.009793213700122731,0.08564046746568198
94,0.5615745891011408,2001-09-05,,,33.0,18.0,1.3685399185677438e-08,5.1367199928111004e-05
95,0.6572175332886295,2001-09-06,,,34.0,19.0,0.0003999198912564274,0.012621255600599773
96,0.7691318911031892,2001-09-07,,,35.0,20.0,0.04849673863042964,0.17741020210139286
97,0.8593070579320341,2001-09-10,,,36.0,21.0,7.95525163710944e-10,4.92094057945247e-06
98,0.9666259742657983,2001-09-17,,,37.0,22.0,1.3480552327711978e-10,1.3526254152082273e-06
99,1.0803906912853145,2001-09-18,,,38.0,23.0,4.332106771277025e-18,3.09480790301782e-11
100,1.2109052002001626,2001-09-19,,,39.0,24.0,1.4318728782638616e-16,1.777408946536142e-10
101,1.4053179912292724,2001-09-20,,,40.0,25.0,7.656678621870415e-22,6.346368148415674e-14
102,1.6204946832177225,2001-09-21,,,41.0,26.0,8.781162188717407e-16,2.8314479633634484e-10
103,1.7423994781124135,2001-09-24,,,42.0,27.0,6.659545967346448e-05,0.002065720417350541
104,1.7788833733341045,2001-09-25,,,43.0,28.0,2.8956421816062896e-19,8.48355873208766e-13
105,1.77764572057695,2001-09-26,,,44.0,29.0,0.7646734144293357,0.8379152316944528
106,1.71184013336131,2001-09-27,,,45.0,30.0,5.216597704695457e-30,3.007864241098773e-20
107,1.541044688186853,2001-09-28,,,46.0,31.0,0.0007169235460338694,0.007600849513040391
108,1.3228598770607645,2001-10-01,1.0,,0.0,32.0,1.0,2.8715274400700024e-14
109,1.0438169734381586,2001-10-02,,,1.0,33.0,0.4504090917510235,3.707113621863363e-12
110,0.7128439471099891,2001-10-03,,,2.0,34.0,0.5455485474478454,3.3586740920906286e-05
111,0.43716659789580853,2001-10-04,,,3.0,35.0,0.7920099484612806,0.06584519620578907
112,0.28652897170421643,2001-10-05,,,4.0,36.0,0.7131999526962826,0.047742125632575634
113,0.21978397852208462,2001-10-08,,,5.0,37.0,0.39060924001507435,0.0009525649388526995
114,0.20589595014558795,2001-10-09,,,6.0,38.0,0.7383204976224595,0.14640341124536732
115,0.23712614492680775,2001-10-10,,,7.0,39.0,0.9099615606302655,0.5911529110812314
116,0.27324134072880346,2001-10-11,,,8.0,40.0,0.49958088848348475,0.031119247035198187
117,0.3117609395433287,2001-10-12,,,9.0,41.0,0.44115009080414314,0.024037731332584363
118,0.3341156026525133,2001-10-15,,,10.0,42.0,0.08622101403410652,3.3851282734976285e-05
119,0.32027929257776816,2001-10-16,,,11.0,43.0,0.37463389201141173,0.021537299663795133
120,0.2682051447288331,2001-10-17,,,12.0,44.0,0.36054928779872764,0.023743078083078534
121,0.19467417651307897,2001-10-18,,,13.0,45.0,0.19142635051291185,0.0032705541006077224
122,0.12513282214563637,2001-10-19,,,14.0,46.0,0.6461955169847065,0.2381826325409552
123,0.15267573043042515,2001-10-22,,,15.0,47.0,0.31904148211370625,0.027886098027451272
124,0.24035922704385806,2001-10-23,,,16.0,48.0,0.18752010430875696,0.0065939174786754035
125,0.3513775245962209,2001-10-24,,,17.0,49.0,0.17233454756679256,0.00629441817498805
126,0.5007317568920165,2001-10-25,,,18.0,50.0,0.003125459819921617,1.1000883255165318e-07
127,0.6413502301459717,2001-10-26,,,19.0,51.0,0.003391099258151299,2.3491674716927752e-07
128,0.7090780738289517,2001-10-29,,,20.0,52.0,0.006447445219467751,2.0156165619832143e-06
129,0.7252604044693415,2001-10-30,,,21.0,53.0,5.492902345541681e-05,1.770400023015778e-11
130,0.7104148131265896,2001-10-31,,,22.0,54.0,1.5208578783758345e-06,5.244113665220757e-15
131,0.6721098277847533,2001-11-01,,,23.0,55.0,0.0012710690241843022,1.1890142575125072e-07
132,0.5817955927119337,2001-11-02,,,24.0,56.0,0.029658741233990232,0.0002722845513778601
133,0.47822682744526307,2001-11-05,,,25.0,57.0,0.8873868362129697,0.7615485558127741
134,0.3932570572774019,2001-11-06,,,26.0,58.0,4.033119507331844e-05,1.5747055451995906e-10
135,0.37823072846294786,2001-11-07,,,27.0,59.0,0.7609443014752469,0.5504704966311575
136,0.4678585517724346,2001-11-08,,,28.0,60.0,0.0014886793897886936,8.744134017064533e-07
137,0.6050875465729483,2001-11-09,,,29.0,61.0,0.39854868364394375,0.14442196363350743
138,0.7192999783083597,2001-11-12,,,30.0,62.0,0.005625061546138058,2.240077492595936e-05
139,0.8154456645429975,2001-11-13,,,31.0,63.0,2.272482880407044e-06,3.3958842072614877e-12
140,0.8825734094112007,2001-11-14,,,32.0,64.0,4.7585837926481455e-06,2.264411971165361e-11
141,0.9247616652756672,2001-11-15,,,33.0,65.0,0.3747851515570978,0.14470396738510552
142,0.919577005323377,2001-11-16,,,34.0,66.0,3.05300918732297e-11,3.872590962817605e-21
143,0.8779860513776367,2001-11-19,,,35.0,67.0,3.6686260035874455e-07,4.793148351865505e-13
144,0.8029852014411747,2001-11-20,,,36.0,68.0,1.9341435568067681e-10,4.490104445912469e-19
145,0.7122061740505627,2001-11-21,,,37.0,69.0,0.7051054543920657,0.5212119382743209
146,0.6228166110084792,2001-11-23,,,38.0,70.0,9.31563384024579e-10,2.313868371534382e-17
147,0.5408668866255787,2001-11-26,,1.0,39.0,0.0,7.571073691010923e-07,1.0
148,0.45701137754001697,2001-11-27,,,40.0,1.0,0.0009217325131646265,0.8396825398655531
149,0.3491690919849454,2001-11-28,,,41.0,2.0,1.1270762199482633e-06,0.51268590743584
150,0.25627989238458954,2001-11-29,,,42.0,3.0,0.017859521540654278,0.7501248597311798
151,0.19655587465039112,2001-11-30,,,43.0,4.0,0.0025540518097231305,0.5738680754032346
152,0.23060086121071185,2001-12-03,,,44.0,5.0,0.08356717430020773,0.7542304446412491
153,0.31190684266338875,2001-12-04,,,45.0,6.0,0.9962160054036846,0.9994946381362378
154,0.3424582394898328,2001-12-05,,,46.0,7.0,0.11975439287999791,0.7240023965414297
155,0.3395643760254799,2001-12-06,,,47.0,8.0,0.04108872684018431,0.5808151068949408
156,0.3312278055827222,2001-12-07,,,48.0,9.0,0.010772641960707322,0.42762237116901797
157,0.3107160890848937,2001-12-10,,,49.0,10.0,0.005542993420699517,0.3463695185468355
158,0.25971475304073727,2001-12-11,,,50.0,11.0,0.23615911142521018,0.7279558414033304
159,0.24086092706271786,2001-12-12,,,51.0,12.0,0.1108550092827042,0.5959866702859239
160,0.23278656523960142,2001-12-13,,,52.0,13.0,0.00019377500112241212,0.1179843588995342
161,0.2712741618757339,2001-12-14,,,53.0,14.0,0.07985799300952245,0.5129161426374149
162,0.330486090326704,2001-12-17,,,54.0,15.0,0.00023632785063332128,0.09832026246082683
163,0.3836044913088365,2001-12-18,,,55.0,16.0,6.060014408594531e-07,0.015533347705045627
164,0.42658261090038024,2001-12-19,,,56.0,17.0,6.162253184080892e-08,0.006473973705407139
165,0.47457958536121814,2001-12-20,,,57.0,18.0,0.0007970057688049269,0.10507856828272448
166,0.5152111070638239,2001-12-21,,,58.0,19.0,7.727996263700018e-11,0.00048693410364078244
