window,ppo,rsi
0,1,6
25,1,1
50,11,4
75,1,13
100,8,1
125,1,2
150,1,3
175,1,1
200,1,1
225,1,5
250,1,1
275,1,1
300,1,8
325,6,14
350,1,3
375,1,2
400,1,5
425,1,5
450,2,1
475,1,1
500,1,3
525,6,1
550,12,10
575,1,2
600,1,1
625,6,1
650,1,4
675,1,5
700,1,1
725,1,7
750,1,14
775,1,3
800,1,2
825,1,4
850,1,3
875,1,1
900,1,3
925,1,1
950,1,12
975,12,14
1000,8,8
1025,2,1
1050,1,11
1075,1,3
1100,1,1
1125,1,3
1150,1,3
1175,1,1
1200,1,2
1225,1,1
1250,1,12
1275,1,3
1300,1,8
1325,1,1
1350,1,14
1375,13,13
1400,3,14
1425,1,1
1450,1,2
1475,1,4
1500,1,1
1525,1,10
1550,1,1
1575,1,13
1600,1,7
1625,1,1
1650,1,10
1675,1,2
1700,1,5
1725,14,13
1750,1,1
1775,1,1
1800,1,7
1825,1,6
1850,1,6
1875,1,1
1900,1,1
1925,6,14
1950,1,13
1975,1,3
2000,1,2
2025,3,3
2050,1,3
1,1,6
26,1,1
51,11,4
76,1,13
101,4,1
126,1,2
151,1,3
176,1,1
201,1,1
226,1,5
251,1,1
276,1,1
301,1,8
326,6,14
351,1,3
376,1,2
401,1,5
426,1,5
451,2,1
476,1,1
501,1,3
526,6,1
551,12,10
576,1,2
601,4,3
626,1,13
651,1,4
676,1,5
701,1,1
726,1,7
751,1,14
776,1,3
801,1,2
826,6,2
851,1,1
876,1,1
901,1,3
926,1,13
951,1,2
976,12,14
1001,8,8
1026,2,1
1051,1,11
1076,1,3
1101,1,1
1126,1,3
1151,1,3
1176,1,1
1201,1,2
1226,1,1
1251,1,12
1276,1,3
1301,1,8
1326,1,1
1351,1,14
1376,13,13
1401,3,14
1426,1,1
1451,1,4
1476,1,4
1501,1,1
1526,1,10
1551,1,1
1576,1,13
1601,1,7
1626,1,1
1651,1,10
1676,1,2
1701,1,5
1726,14,13
1751,1,3
1776,1,1
1801,1,7
1826,1,6
1851,1,4
1876,1,1
1901,1,1
1926,6,14
1951,1,13
1976,1,3
2001,1,3
2026,3,3
2051,1,3
2,8,1
27,1,1
52,11,4
77,1,13
102,4,1
127,2,2
152,1,3
177,1,1
202,1,4
227,1,5
252,1,1
277,1,1
302,1,8
327,6,14
352,1,3
377,1,2
402,1,5
427,1,5
452,2,1
477,1,2
502,1,3
527,6,1
552,12,10
577,1,2
602,1,1
627,8,7
652,1,4
677,1,5
702,1,1
727,1,7
752,1,14
777,1,3
802,1,2
827,1,5
852,1,1
877,3,1
902,1,3
927,14,14
952,1,2
977,12,14
1002,8,8
1027,2,1
1052,1,11
1077,1,3
1102,1,1
1127,1,3
1152,1,3
1177,1,1
1202,1,2
1227,1,1
1252,1,3
1277,1,4
1302,1,8
1327,1,1
1352,1,14
1377,13,13
1402,3,14
1427,1,1
1452,1,4
1477,2,1
1502,1,1
1527,1,10
1552,1,1
1577,1,13
1602,1,7
1627,1,1
1652,1,10
1677,1,2
1702,2,8
1727,1,2
1752,1,3
1777,1,1
1802,1,7
1827,1,6
1852,1,4
1877,1,1
1902,1,1
1927,6,14
1952,1,13
1977,1,3
2002,1,5
2027,3,3
2052,1,3
3,1,14
28,1,1
53,14,14
78,1,13
103,4,1
128,1,2
153,1,3
178,1,1
203,1,6
228,1,5
253,1,1
278,1,1
303,1,8
328,6,14
353,2,2
378,1,5
403,1,1
428,1,5
453,2,1
478,1,2
503,1,3
528,6,1
553,1,3
578,1,2
603,1,1
628,3,10
653,1,4
678,1,5
703,1,1
728,1,12
753,1,14
778,1,3
803,1,2
828,1,4
853,1,1
878,1,1
903,1,3
928,14,14
953,1,2
978,12,14
1003,8,8
1028,2,1
1053,1,11
1078,1,3
1103,1,1
1128,1,3
1153,1,3
1178,1,1
1203,1,2
1228,1,1
1253,1,3
1278,1,6
1303,1,8
1328,1,1
1353,1,14
1378,13,13
1403,3,14
1428,1,1
1453,1,4
1478,2,1
1503,1,1
1528,1,10
1553,1,1
1578,1,13
1603,1,7
1628,1,1
1653,1,10
1678,1,2
1703,2,8
1728,1,2
1753,1,3
1778,1,1
1803,1,7
1828,1,6
1853,1,3
1878,3,5
1903,1,1
1928,1,1
1953,1,13
1978,1,3
2003,1,3
2028,3,3
2053,1,3
4,8,1
29,1,1
54,14,14
79,1,13
104,4,1
129,3,1
154,1,3
179,1,1
204,1,4
229,1,5
254,1,1
279,1,1
304,8,14
329,6,14
354,2,2
379,1,5
404,1,1
429,1,5
454,2,1
479,1,2
504,1,3
529,6,1
554,1,3
579,1,2
604,1,1
629,3,10
654,1,4
679,1,5
704,1,1
729,1,12
754,1,11
779,1,3
804,1,2
829,1,4
854,1,1
879,1,1
904,1,3
929,14,14
954,1,2
979,12,14
1004,8,8
1029,2,1
1054,1,11
1079,1,1
1104,1,1
1129,1,3
1154,1,3
1179,1,1
1204,1,2
1229,1,1
1254,1,3
1279,1,6
1304,1,8
1329,1,1
1354,1,14
1379,13,13
1404,3,14
1429,1,1
1454,1,4
1479,2,1
1504,1,1
1529,1,10
1554,1,1
1579,1,13
1604,1,7
1629,1,1
1654,1,10
1679,1,2
1704,2,8
1729,1,2
1754,1,3
1779,1,1
1804,1,7
1829,1,6
1854,1,3
1879,1,1
1904,1,1
1929,1,1
1954,1,13
1979,1,3
2004,1,4
2029,3,3
