window,ppo,rsi
0,9,14
25,1,5
50,1,1
75,1,10
100,1,13
125,1,6
150,13,14
175,1,8
200,8,14
225,1,3
250,1,6
275,1,6
300,1,1
325,1,9
350,1,1
375,3,6
400,1,8
425,1,5
450,1,1
475,1,7
500,1,1
525,3,2
550,1,3
575,1,2
600,1,11
625,1,1
650,2,1
675,12,14
700,1,7
725,1,14
750,1,1
775,1,3
800,1,1
825,8,6
850,1,1
875,1,1
900,1,1
925,1,1
950,1,13
975,1,1
1000,1,10
1025,1,4
1050,1,1
1075,1,1
1100,1,7
1125,1,1
1150,1,1
1175,1,1
1200,1,1
1225,1,1
1250,1,9
1275,5,14
1300,1,9
1325,1,1
1350,2,9
1375,1,1
1400,1,1
1425,1,1
1450,2,1
1475,1,1
1500,1,1
1525,1,1
1550,1,2
1575,1,5
1600,1,5
1625,1,1
1650,1,2
1675,1,1
1700,1,1
1725,1,2
1750,14,14
1775,1,1
1800,1,1
1825,1,10
1850,1,9
1875,1,1
1900,9,2
1925,1,1
1950,1,1
1975,4,6
2000,1,1
2025,1,1
2050,2,14
1,9,14
26,1,5
51,1,1
76,1,13
101,1,1
126,1,6
151,13,14
176,1,8
201,8,14
226,1,3
251,1,6
276,1,6
301,10,14
326,1,9
351,1,1
376,3,6
401,1,8
426,1,5
451,1,1
476,1,1
501,1,1
526,3,2
551,1,3
576,1,2
601,1,11
626,1,1
651,2,1
676,12,14
701,1,7
726,1,14
751,1,10
776,1,3
801,1,1
826,8,6
851,2,14
876,1,1
901,1,1
926,1,1
951,1,13
976,1,1
1001,11,14
1026,1,4
1051,1,1
1076,1,1
1101,1,7
1126,1,1
1151,3,1
1176,1,1
1201,1,1
1226,1,1
1251,1,9
1276,10,14
1301,1,9
1326,1,4
1351,2,9
1376,1,1
1401,1,1
1426,1,1
1451,2,1
1476,1,1
1501,1,1
1526,1,1
1551,1,2
1576,1,5
1601,1,5
1626,1,1
1651,1,2
1676,1,1
1701,1,2
1726,1,1
1751,14,14
1776,1,1
1801,1,1
1826,1,10
1851,1,9
1876,1,1
1901,9,2
1926,1,2
1951,14,2
1976,4,6
2001,1,1
2026,1,1
2051,2,14
2,9,14
27,1,5
52,1,1
77,1,13
102,1,1
127,1,6
152,13,14
177,1,1
202,8,14
227,1,3
252,1,6
277,1,6
302,10,14
327,1,9
352,1,1
377,3,6
402,1,8
427,1,5
452,1,1
477,1,1
502,1,1
527,3,2
552,1,3
577,1,2
602,1,1
627,1,1
652,2,1
677,12,14
702,1,14
727,1,2
752,1,10
777,1,3
802,1,1
827,8,6
852,2,14
877,1,1
902,1,1
927,1,1
952,1,13
977,1,1
1002,11,14
1027,1,4
1052,1,1
1077,1,1
1102,1,7
1127,1,1
1152,1,1
1177,1,1
1202,1,1
1227,4,14
1252,5,14
1277,1,11
1302,1,1
1327,1,4
1352,2,9
1377,1,1
1402,1,1
1427,1,1
1452,2,1
1477,1,1
1502,1,1
1527,1,1
1552,1,2
1577,1,5
1602,1,5
1627,1,1
1652,1,2
1677,1,1
1702,1,2
1727,1,1
1752,14,14
1777,1,1
1802,1,1
1827,1,10
1852,1,9
1877,1,1
1902,9,2
1927,1,2
1952,14,2
1977,4,6
2002,1,1
2027,1,1
2052,2,14
3,9,14
28,1,1
53,1,1
78,1,13
103,1,1
128,1,6
153,13,14
178,1,1
203,8,14
228,1,1
253,1,6
278,1,6
303,10,14
328,5,14
353,1,1
378,3,6
403,1,8
428,1,5
453,1,1
478,1,1
503,1,1
528,3,2
553,1,3
578,1,13
603,1,1
628,1,1
653,2,1
678,12,14
703,9,14
728,1,2
753,1,10
778,1,3
803,1,1
828,8,6
853,2,14
878,1,1
903,1,1
928,1,1
953,1,13
978,1,1
1003,11,14
1028,1,4
1053,1,1
1078,1,7
1103,1,7
1128,1,1
1153,1,1
1178,1,1
1203,1,1
1228,4,14
1253,5,14
1278,1,11
1303,1,1
1328,1,4
1353,2,9
1378,1,1
1403,1,1
1428,1,1
1453,2,1
1478,1,1
1503,1,1
1528,1,1
1553,1,2
1578,1,5
1603,1,5
1628,1,1
1653,1,2
1678,1,1
1703,1,2
1728,1,1
1753,14,14
1778,1,1
1803,1,1
1828,1,10
1853,1,9
1878,1,1
1903,9,2
1928,1,2
1953,14,2
1978,4,6
2003,1,1
2028,1,1
2053,2,14
4,9,14
29,1,1
54,1,1
79,1,13
104,1,1
129,1,6
154,13,14
179,1,1
204,8,14
229,1,2
254,1,6
279,1,6
304,10,14
329,5,14
354,1,1
379,3,6
404,4,11
429,1,5
454,1,1
479,1,1
504,1,1
529,3,2
554,1,3
579,1,13
604,1,1
629,1,1
654,2,1
679,12,14
704,9,14
729,1,2
754,1,10
779,1,1
804,1,1
829,8,6
854,2,14
879,1,1
904,1,1
929,1,1
954,1,13
979,1,1
1004,11,14
1029,1,1
1054,1,1
1079,1,1
1104,1,7
1129,1,1
1154,1,1
1179,1,1
1204,1,1
1229,4,14
1254,5,14
1279,1,11
1304,1,1
1329,1,4
1354,2,9
1379,1,1
1404,1,1
1429,1,1
1454,2,1
1479,1,1
1504,1,1
1529,1,1
1554,1,2
1579,1,5
1604,1,5
1629,1,1
1654,1,2
1679,1,1
1704,1,2
1729,1,1
1754,14,14
1779,1,1
1804,1,1
1829,1,12
1854,9,14
1879,1,1
1904,9,2
1929,1,2
1954,14,2
1979,4,6
2004,1,1
2029,1,1
2054,2,14
5,1,3
30,1,1
55,1,1
80,1,13
105,1,1
130,1,6
155,13,14
180,1,1
205,8,14
230,1,2
255,1,6
280,1,4
305,10,14
330,7,14
355,1,1
380,3,6
405,1,8
430,1,5
455,1,1
480,1,1
505,1,1
530,3,2
555,1,3
580,1,13
605,1,1
630,1,1
655,2,1
680,12,14
705,9,14
730,1,2
755,1,10
780,1,1
805,1,1
830,8,6
855,2,14
880,1,1
905,1,1
930,1,1
955,1,13
980,1,1
1005,11,14
1030,1,1
1055,1,1
1080,2,3
1105,1,3
1130,1,1
1155,1,1
1180,1,1
1205,1,1
1230,4,14
1255,5,14
1280,1,11
1305,1,1
1330,1,4
1355,2,9
1380,1,1
1405,1,1
1430,1,1
1455,1,1
1480,1,3
1505,1,1
1530,1,1
1555,1,2
1580,9,13
1605,1,5
1630,1,2
1655,1,2
1680,1,1
1705,1,2
1730,1,1
1755,14,14
1780,9,14
1805,1,1
1830,1,10
1855,9,14
1880,1,1
1905,9,2
1930,1,2
1955,14,2
1980,4,6
2005,1,1
2030,1,1
2055,2,14
6,4,3
31,1,1
56,1,1
81,1,13
106,1,1
131,1,6
156,13,14
181,1,1
206,12,14
231,1,5
256,1,6
281,1,4
306,10,14
331,7,14
356,1,1
381,3,6
406,1,8
431,1,5
456,1,1
481,1,1
506,1,1
531,3,2
556,1,3
581,1,13
606,1,1
631,1,1
656,2,1
681,12,14
706,9,14
731,1,2
756,1,10
781,1,1
806,1,1
831,8,6
856,2,14
881,1,1
906,1,1
931,1,1
956,1,13
981,1,1
1006,11,14
1031,1,1
1056,1,1
1081,1,7
1106,1,3
1131,6,12
1156,14,10
1181,1,1
1206,1,1
1231,4,14
1256,5,14
1281,1,11
1306,1,1
1331,1,4
1356,3,1
1381,1,1
1406,1,1
1431,1,1
1456,1,1
1481,1,1
1506,1,1
1531,1,1
1556,1,2
1581,9,13
1606,1,5
1631,1,1
1656,1,2
1681,4,14
1706,1,2
1731,1,1
1756,14,14
1781,1,1
1806,1,1
1831,1,10
1856,9,14
1881,1,1
1906,9,2
1931,6,1
1956,14,2
1981,4,6
2006,1,1
2031,1,1
2056,2,14
7,1,3
32,1,10
57,1,1
82,1,13
107,1,1
132,1,6
157,13,14
182,1,1
207,12,14
232,1,2
257,1,6
282,1,4
307,3,3
332,7,14
357,1,1
382,3,6
407,1,8
432,1,5
457,1,1
482,1,1
507,1,1
532,3,2
557,1,3
582,1,13
607,1,1
632,1,1
657,2,1
682,12,14
707,9,14
732,1,2
757,1,10
782,1,1
807,1,1
832,8,6
857,2,14
882,1,1
907,1,1
932,1,1
957,1,13
982,1,1
1007,11,14
1032,1,1
1057,1,1
1082,1,7
1107,1,3
1132,1,1
1157,14,10
1182,1,1
1207,1,1
1232,4,14
1257,5,14
1282,1,13
1307,1,1
1332,1,4
1357,3,1
1382,1,1
1407,1,1
1432,1,1
1457,1,1
1482,1,1
1507,1,1
1532,1,1
1557,1,5
1582,1,1
1607,1,5
1632,1,9
1657,1,2
1682,4,14
1707,1,2
1732,1,1
1757,14,14
1782,1,1
1807,1,1
1832,1,10
1857,9,14
1882,1,9
1907,9,2
1932,6,1
1957,14,2
1982,4,6
2007,1,1
2032,1,1
2057,2,14
8,1,3
33,1,10
58,1,1
83,1,13
108,1,1
133,1,6
158,13,14
183,1,3
208,12,14
233,1,2
258,1,6
283,10,14
308,3,3
333,7,14
358,1,1
383,3,6
408,1,8
433,1,5
458,1,1
483,1,1
508,1,1
533,3,2
558,1,3
583,1,13
608,1,1
633,1,1
658,2,1
683,12,14
708,9,14
733,1,2
758,1,3
783,1,1
808,1,1
833,8,6
858,2,14
883,1,1
908,1,1
933,1,1
958,1,13
983,1,1
1008,11,14
1033,1,1
1058,1,1
1083,1,7
1108,1,3
1133,1,2
1158,1,1
1183,1,1
1208,1,1
1233,4,14
1258,5,14
1283,1,11
1308,1,1
1333,1,4
1358,3,1
1383,1,1
1408,1,1
1433,1,1
1458,1,1
1483,1,1
1508,1,1
1533,1,1
1558,1,5
1583,1,1
1608,1,5
1633,1,1
1658,1,2
1683,1,1
1708,1,2
1733,1,1
1758,14,14
1783,1,1
1808,1,1
1833,1,10
1858,9,14
1883,1,9
1908,9,2
1933,6,1
1958,14,2
1983,4,6
2008,1,1
2033,1,1
2058,2,14
9,1,5
34,1,10
59,1,1
84,1,13
109,1,1
134,1,6
159,13,14
184,1,3
209,12,14
234,1,2
259,1,6
284,10,14
309,3,3
334,7,14
359,1,1
384,3,6
409,1,8
434,1,5
459,1,1
484,1,1
509,1,1
534,3,2
559,1,3
584,1,1
609,1,1
634,1,1
659,1,1
684,12,14
709,9,14
734,1,2
759,1,3
784,1,1
809,1,1
834,8,6
859,2,14
884,1,1
909,1,1
934,1,1
959,1,13
984,1,1
1009,11,14
1034,1,1
1059,1,1
1084,1,7
1109,1,3
1134,1,1
1159,1,1
1184,1,1
1209,1,1
1234,4,14
1259,5,14
1284,1,11
1309,1,1
1334,1,4
1359,3,1
1384,1,1
1409,1,1
1434,1,1
1459,1,1
1484,2,14
1509,1,1
1534,1,1
1559,1,5
1584,1,1
1609,1,5
1634,1,1
1659,1,1
1684,1,1
1709,1,2
1734,1,1
1759,14,14
1784,1,1
1809,1,1
1834,1,10
1859,9,14
1884,1,9
1909,9,2
1934,6,1
1959,14,2
1984,4,6
2009,1,1
2034,1,1
2059,2,14
10,1,5
35,1,10
60,1,1
85,1,13
110,1,1
135,1,3
160,13,14
185,1,3
210,12,14
235,1,2
260,1,6
285,10,14
310,3,3
335,7,14
360,1,1
385,3,6
410,1,8
435,5,1
460,1,1
485,1,1
510,1,1
