window,ppo,rsi
0,1,1
25,1,1
50,1,1
75,1,1
100,1,11
125,10,2
150,1,1
175,1,1
200,1,1
225,1,1
250,1,3
275,1,1
300,1,9
325,1,2
350,1,1
375,1,3
400,11,4
425,1,10
450,1,1
475,2,5
500,1,1
525,1,1
550,11,14
575,1,4
600,1,1
625,8,14
650,13,13
675,1,1
700,1,12
725,1,1
750,1,1
775,1,1
800,1,1
825,1,1
850,3,6
875,1,1
900,1,1
925,1,1
950,1,4
975,1,1
1000,1,1
1025,1,1
1050,1,1
1075,1,1
1100,1,1
1125,1,1
1150,1,1
1175,1,1
1200,1,1
1225,1,1
1250,1,1
1275,1,1
1300,1,1
1325,1,1
1350,1,6
1375,1,1
1400,1,1
1425,1,1
1450,1,1
1475,1,1
1500,1,1
1525,1,1
1550,1,9
1575,1,1
1600,1,5
1625,1,1
1650,1,1
1675,9,14
1700,1,1
1725,1,1
1750,1,2
1775,1,1
1800,1,1
1825,8,14
1850,1,2
1875,1,1
1900,1,1
1925,5,1
1950,1,8
1975,1,1
2000,10,2
2025,2,12
2050,1,1
1,1,1
26,1,1
51,1,1
76,1,1
101,1,11
126,10,2
151,1,1
176,1,1
201,1,1
226,1,1
251,1,3
276,1,1
301,1,1
326,1,2
351,1,1
376,1,1
401,11,4
426,1,10
451,1,1
476,2,5
501,1,1
526,1,1
551,11,14
576,1,4
601,1,1
626,8,14
651,13,13
676,1,1
701,1,12
726,1,1
751,1,1
776,1,1
801,1,1
826,1,1
851,3,6
876,1,1
901,1,1
926,1,1
951,1,4
976,1,1
1001,1,1
1026,1,1
1051,1,1
1076,1,1
1101,1,1
1126,1,1
1151,1,1
1176,1,1
1201,1,1
1226,1,1
1251,1,1
1276,1,1
1301,1,1
1326,1,1
1351,1,6
1376,1,1
1401,1,1
1426,1,1
1451,1,1
1476,1,1
1501,1,1
1526,1,3
1551,1,9
1576,1,1
1601,1,5
1626,1,1
1651,1,1
1676,9,14
1701,1,1
1726,1,1
1751,1,2
1776,1,1
1801,1,1
1826,8,14
1851,1,2
1876,1,1
1901,1,1
1926,5,1
1951,1,8
1976,1,1
2001,10,2
2026,2,12
2051,1,1
2,1,1
27,1,1
52,1,1
77,1,1
102,1,11
127,10,2
152,1,1
177,1,1
202,1,1
227,1,1
252,10,14
277,1,1
302,1,1
327,1,2
352,1,1
377,1,8
402,1,12
427,1,10
452,1,1
477,2,5
502,1,1
527,1,1
552,11,14
577,1,4
602,1,1
627,8,14
652,13,13
677,1,1
702,1,12
727,1,1
752,1,1
777,1,1
802,1,1
827,1,1
852,3,6
877,1,1
902,1,1
927,1,1
952,1,4
977,1,1
1002,1,1
1027,1,1
1052,1,1
1077,1,1
1102,1,1
1127,1,1
1152,1,1
1177,1,1
1202,1,1
1227,1,1
1252,1,1
1277,1,1
1302,1,1
1327,1,1
1352,1,1
1377,1,1
1402,1,1
1427,1,1
1452,1,1
1477,1,1
1502,1,1
1527,1,1
1552,1,9
1577,1,1
1602,1,5
1627,1,1
1652,1,1
1677,9,14
1702,1,1
1727,1,1
1752,1,2
1777,1,1
1802,1,1
1827,8,14
1852,1,2
1877,1,1
1902,1,1
1927,5,1
1952,1,8
1977,1,1
2002,10,2
2027,1,3
2052,1,1
3,1,1
28,1,1
53,1,1
78,1,1
103,1,11
128,10,2
153,11,10
178,1,1
203,1,1
228,1,1
253,1,3
278,1,1
303,1,1
328,1,1
353,1,1
378,1,3
403,1,12
428,1,10
453,1,1
478,2,5
503,1,1
528,1,1
553,11,14
578,1,4
603,1,1
628,8,14
653,13,13
678,1,1
703,1,12
728,1,1
753,1,1
778,1,1
803,1,1
828,1,1
853,3,6
878,1,1
903,1,1
928,1,7
953,1,7
978,1,1
1003,1,1
1028,1,1
1053,1,1
1078,1,1
1103,1,1
1128,1,1
1153,1,1
1178,1,1
1203,1,1
1228,1,1
1253,1,1
1278,1,1
1303,1,2
1328,1,6
1353,1,1
1378,1,1
1403,1,1
1428,1,1
1453,1,1
1478,1,1
1503,1,1
1528,1,1
1553,1,9
1578,1,1
1603,1,5
1628,1,1
1653,1,1
1678,9,14
1703,1,1
1728,1,1
1753,1,2
1778,1,1
1803,1,1
1828,8,14
1853,1,2
1878,1,1
1903,1,1
1928,5,1
1953,1,8
1978,1,1
2003,10,2
2028,1,3
2053,1,1
4,1,1
29,1,1
54,1,1
79,1,1
104,1,11
129,10,2
154,1,1
179,1,1
204,1,1
229,1,1
254,1,3
279,1,1
304,1,2
329,1,1
354,1,1
379,1,3
404,1,12
429,1,6
454,1,1
479,2,5
504,1,1
529,1,1
554,11,14
579,1,4
604,1,1
629,8,14
654,13,13
679,1,1
704,1,12
729,1,1
754,1,1
779,1,1
804,1,2
829,1,1
854,3,6
879,1,1
904,1,1
929,1,1
954,1,7
979,1,1
1004,1,1
1029,1,1
1054,1,1
1079,1,1
1104,1,1
1129,1,1
1154,1,1
1179,1,1
1204,1,1
1229,1,1
1254,1,1
1279,1,1
1304,1,1
1329,1,1
1354,1,1
1379,1,1
1404,1,1
1429,1,1
1454,1,1
1479,1,1
1504,1,1
1529,1,1
1554,1,1
1579,1,1
1604,1,5
1629,1,1
1654,1,1
1679,9,14
1704,1,1
1729,1,1
1754,1,2
1779,1,1
1804,1,1
1829,1,2
1854,1,2
1879,1,1
1904,1,1
1929,5,1
1954,1,8
1979,1,1
2004,10,2
2029,1,3
2054,1,1
5,1,1
30,1,1
55,1,1
80,1,1
105,1,11
130,10,2
155,1,1
180,1,1
205,1,1
230,1,1
255,1,3
280,1,1
305,1,2
330,1,1
355,1,1
380,1,3
405,1,10
430,1,1
455,1,1
480,2,5
505,1,1
530,1,1
555,11,14
580,1,4
605,1,1
630,8,14
655,13,13
680,1,1
705,1,12
730,1,1
755,1,1
780,1,1
805,1,1
830,1,1
855,3,6
880,1,1
905,1,1
930,1,4
955,1,1
980,1,1
1005,1,1
1030,1,1
1055,1,1
1080,1,1
1105,1,1
1130,1,1
1155,1,1
1180,1,1
1205,1,1
1230,1,1
1255,1,1
1280,1,1
1305,1,1
1330,1,1
