window,ppo,rsi
0,1,1
25,1,8
50,1,5
75,1,1
100,2,14
125,1,1
150,1,1
175,7,14
200,6,12
225,1,6
250,1,13
275,1,1
300,1,1
325,1,8
350,1,1
375,1,1
400,1,1
425,1,1
450,1,6
475,1,1
500,5,7
525,1,1
550,1,1
575,2,14
600,1,1
625,1,1
650,1,10
675,1,1
700,1,1
725,1,1
750,1,1
775,1,1
800,1,10
825,1,1
850,5,7
875,1,6
900,1,13
925,12,14
950,1,1
975,1,7
1000,11,14
1025,1,3
1050,1,5
1075,1,1
1100,1,14
1125,1,1
1150,1,2
1175,7,14
1200,1,1
1225,1,3
1250,1,1
1275,1,1
1300,1,1
1325,1,1
1350,1,1
1375,1,1
1400,1,1
1425,7,14
1450,1,1
1475,1,1
1500,1,1
1525,8,14
1550,4,14
1575,1,1
1600,1,1
1625,1,13
1650,6,14
1675,1,4
1700,8,14
1725,1,1
1750,1,1
1775,7,1
1800,1,1
1825,8,12
1850,2,1
1875,1,6
1900,1,1
1925,1,3
1950,1,7
1975,7,14
2000,2,6
2025,4,11
2050,1,1
1,1,1
26,1,8
51,1,5
76,1,1
101,2,14
126,1,1
151,1,1
176,1,1
201,6,12
226,1,6
251,1,13
276,1,1
301,1,1
326,1,8
351,1,1
376,1,1
401,1,1
426,1,1
451,1,6
476,1,1
501,5,7
526,1,1
551,1,1
576,2,14
601,1,1
626,1,1
651,1,10
676,1,1
701,1,1
726,1,1
751,1,1
776,1,1
801,1,10
826,1,1
851,5,7
876,1,6
901,1,13
926,12,14
951,1,1
976,1,7
1001,11,14
1026,1,3
1051,1,5
1076,1,1
1101,1,14
1126,1,1
1151,1,2
1176,7,14
1201,1,1
1226,1,3
1251,1,1
1276,1,1
1301,1,1
1326,1,9
1351,1,1
1376,1,1
1401,1,1
1426,7,14
1451,1,1
1476,1,1
1501,1,1
1526,8,14
1551,4,14
1576,1,1
1601,1,1
1626,1,13
1651,6,14
1676,1,4
1701,8,14
1726,1,1
1751,1,1
1776,7,1
1801,1,1
1826,8,12
1851,2,1
1876,1,5
1901,1,1
1926,1,3
1951,1,7
1976,1,5
2001,2,6
2026,1,14
2051,1,1
2,1,1
27,1,8
52,1,5
77,1,1
102,2,14
127,1,1
152,1,1
177,1,1
202,6,12
227,1,6
252,1,13
277,1,1
302,1,1
327,1,8
352,1,1
377,1,1
402,1,1
427,1,1
452,1,6
477,1,1
502,5,7
527,1,1
552,1,1
577,2,14
602,1,1
627,1,1
652,1,10
677,1,1
702,1,1
727,1,1
752,1,1
777,1,1
802,1,10
827,1,1
852,5,7
877,1,6
902,1,13
927,12,14
952,1,1
977,1,7
1002,11,14
1027,1,3
1052,1,5
1077,1,1
1102,1,14
1127,1,1
1152,1,2
1177,7,14
1202,1,1
1227,1,3
1252,1,1
1277,1,1
1302,1,1
1327,1,1
1352,1,1
1377,1,1
1402,1,1
1427,7,14
1452,1,1
1477,1,1
1502,1,1
1527,8,14
1552,4,14
1577,1,8
1602,1,1
1627,1,13
1652,6,14
1677,1,4
1702,8,14
1727,1,1
1752,1,1
1777,7,1
1802,1,1
1827,10,1
1852,2,1
1877,1,5
1902,1,1
1927,1,3
1952,7,14
1977,1,9
2002,2,6
2027,1,14
2052,1,1
3,1,1
28,1,8
53,1,5
78,1,1
103,2,14
128,1,1
153,1,1
178,1,1
203,6,12
228,1,6
253,1,13
278,1,1
303,1,1
328,1,8
353,1,1
378,1,1
403,1,1
428,1,1
453,1,6
478,1,1
503,5,7
528,1,1
553,1,1
578,2,14
603,1,1
628,1,1
653,1,10
678,1,1
703,1,1
728,1,1
753,1,1
778,1,1
803,1,10
828,1,1
853,5,7
878,1,6
903,1,13
928,12,14
953,1,1
978,1,7
1003,11,14
1028,1,3
1053,1,5
1078,1,1
1103,1,14
1128,1,2
1153,1,1
1178,7,14
1203,1,1
1228,1,3
1253,1,1
1278,1,1
1303,1,1
1328,1,1
1353,1,1
1378,1,1
1403,1,1
1428,7,14
1453,1,1
1478,1,1
1503,1,1
1528,8,14
1553,4,14
1578,1,1
1603,1,1
1628,1,13
1653,6,14
1678,1,4
1703,8,14
1728,1,1
1753,1,1
1778,7,1
1803,1,1
1828,10,1
1853,2,1
1878,1,5
1903,1,1
1928,1,3
1953,7,14
1978,1,9
2003,2,6
2028,1,14
2053,1,1
4,1,1
29,1,8
54,1,5
79,1,1
104,2,14
129,1,1
154,1,1
179,1,1
204,6,12
229,1,6
254,1,13
279,1,1
304,1,1
329,1,8
354,1,1
379,1,1
404,1,1
429,1,1
454,1,6
479,1,1
504,5,7
529,1,1
554,1,1
579,2,14
604,1,1
629,1,1
654,1,10
679,1,1
704,1,1
729,1,1
754,1,1
779,1,1
804,1,10
829,1,1
854,5,7
879,1,6
904,1,13
929,12,14
954,1,1
979,1,7
1004,11,14
1029,1,3
1054,1,5
1079,1,1
1104,1,14
1129,1,2
1154,1,1
1179,7,14
1204,1,1
1229,1,3
1254,1,1
1279,1,1
1304,1,1
1329,1,1
1354,1,1
1379,1,1
1404,1,1
1429,7,14
