window,ppo,rsi
0,1,1
25,1,1
50,1,1
75,1,1
100,1,1
125,1,1
150,1,1
175,1,26
200,1,1
225,1,1
250,1,8
275,6,2
300,1,6
325,1,1
350,1,1
375,1,7
400,1,10
425,1,1
450,1,1
475,7,29
500,1,1
525,1,1
550,1,1
575,23,18
600,1,1
625,1,1
650,1,1
675,1,1
700,1,1
725,5,26
750,1,1
775,1,1
800,1,27
825,1,1
850,1,1
875,1,1
900,1,1
925,1,5
950,1,1
975,1,1
1000,1,4
1025,21,29
1050,1,1
1075,1,1
1100,3,5
1125,1,9
1150,1,1
1175,1,1
1200,1,1
1225,1,1
1250,1,2
1275,1,7
1300,1,6
1325,1,1
1350,1,1
1375,24,11
1400,1,1
1425,1,1
1450,1,3
1475,1,4
1500,1,1
1525,1,2
1550,1,20
1575,1,1
1600,1,6
1625,1,1
1650,1,1
1675,2,27
1700,1,1
1725,1,1
1750,1,1
1775,1,10
1800,1,1
1825,1,1
1850,1,6
1875,1,1
1900,1,1
1925,1,1
1950,1,6
1975,1,1
2000,1,4
2025,1,16
2050,9,29
1,1,1
26,1,1
51,1,1
76,1,1
101,1,1
126,1,1
151,1,1
176,1,26
201,1,1
226,1,1
251,1,8
276,1,1
301,1,6
326,1,1
351,1,1
376,1,7
401,1,10
426,1,1
451,1,1
476,7,29
501,1,1
526,1,1
551,1,1
576,23,18
601,1,1
626,1,1
651,1,1
676,1,1
701,1,1
726,5,26
751,1,1
776,1,1
801,1,27
826,1,1
851,1,1
876,1,1
901,1,1
926,1,5
951,1,1
976,1,1
1001,1,4
1026,21,29
1051,1,1
1076,1,1
1101,3,5
1126,1,9
1151,1,1
1176,1,1
1201,1,1
1226,1,1
1251,1,3
1276,1,7
1301,1,8
1326,1,1
1351,1,1
1376,24,11
1401,1,1
1426,1,1
1451,1,3
1476,1,4
1501,1,1
1526,1,2
1551,1,20
1576,1,1
1601,1,6
1626,1,1
1651,1,1
1676,2,27
1701,1,1
1726,1,1
1751,1,4
1776,1,10
1801,1,1
1826,1,1
1851,1,6
1876,1,1
1901,1,1
1926,1,1
1951,1,6
1976,1,1
2001,1,4
2026,1,2
2051,9,29
2,1,1
27,1,1
52,1,1
77,1,1
102,1,1
127,1,1
152,1,1
177,1,26
202,1,1
227,1,1
252,1,8
277,1,1
302,1,6
327,1,1
352,1,1
377,1,7
402,1,10
427,1,1
452,1,1
477,7,29
502,1,1
527,1,1
552,1,1
577,23,18
602,1,1
627,1,1
652,1,1
677,1,1
702,1,1
727,5,26
752,1,1
777,1,1
802,1,27
827,1,1
852,1,1
877,1,1
902,1,1
927,1,5
952,1,1
977,1,1
1002,1,1
1027,1,1
1052,1,1
1077,1,1
1102,3,5
1127,1,9
1152,1,1
1177,1,1
1202,1,1
1227,1,1
1252,1,3
1277,1,7
1302,1,8
1327,17,2
1352,1,1
1377,24,11
1402,1,1
1427,1,1
1452,1,5
1477,1,4
1502,1,1
1527,1,2
1552,1,20
1577,1,1
1602,1,6
1627,1,1
1652,1,1
1677,2,27
1702,1,1
1727,1,1
1752,1,4
1777,1,10
1802,1,1
1827,1,1
1852,1,6
1877,1,1
1902,1,1
1927,1,1
1952,1,6
1977,1,1
2002,1,4
2027,1,2
2052,9,29
3,1,1
28,1,1
53,1,1
78,1,1
103,1,1
128,1,1
153,2,29
178,1,26
203,1,1
228,1,1
253,1,8
278,1,1
303,1,6
328,1,1
353,1,1
378,1,7
403,1,10
428,1,1
453,1,1
478,7,29
503,1,1
528,1,1
553,1,1
578,23,18
603,1,1
628,1,1
653,1,1
678,1,1
703,1,1
728,5,26
753,1,1
778,1,1
803,1,27
828,1,1
853,1,1
878,1,1
903,1,1
928,1,5
953,1,1
978,1,4
1003,21,29
1028,1,1
1053,1,1
1078,1,1
1103,3,5
1128,1,1
1153,1,1
1178,1,1
1203,1,1
1228,1,1
1253,1,3
1278,1,7
1303,1,8
1328,2,4
1353,1,1
1378,24,11
1403,1,1
1428,1,1
1453,1,4
1478,1,1
1503,1,1
1528,1,2
1553,1,20
1578,1,1
1603,1,6
1628,1,1
1653,1,1
1678,2,27
1703,1,1
1728,1,1
1753,1,4
1778,1,10
1803,1,1
1828,1,1
1853,1,6
1878,1,1
1903,1,1
1928,1,1
1953,1,6
1978,1,1
2003,1,4
2028,1,2
2053,9,29
4,1,1
29,1,1
54,1,1
79,1,1
104,1,1
129,1,1
154,2,29
179,1,1
204,1,1
229,1,1
254,1,8
279,1,1
304,1,6
329,1,1
354,1,1
379,1,7
404,1,10
429,1,1
454,1,1
479,7,29
504,1,1
529,1,1
554,1,1
579,23,18
604,1,1
629,1,1
654,1,1
679,1,1
704,1,1
729,5,26
754,1,1
779,1,1
804,1,27
829,1,1
854,1,1
879,1,1
904,1,1
929,1,5
954,1,1
979,1,4
1004,21,29
1029,1,1
1054,1,1
1079,1,1
1104,3,5
1129,1,1
1154,1,1
1179,1,1
1204,1,1
1229,1,1
1254,1,3
1279,1,7
1304,1,8
1329,2,4
1354,1,1
1379,24,11
1404,1,1
1429,1,1
1454,1,4
1479,1,1
1504,1,1
1529,1,2
1554,1,20
1579,1,1
1604,1,6
1629,1,1
1654,1,1
1679,2,27
1704,1,1
1729,1,1
1754,1,4
1779,1,10
1804,1,1
1829,1,1
1854,1,6
1879,1,1
1904,1,4
1929,1,1
1954,1,6
1979,1,1
2004,1,4
2029,1,2
2054,9,29
5,1,1
30,1,1
55,1,1
80,1,1
105,1,1
130,1,1
155,2,29
180,1,1
205,1,1
230,1,1
255,1,8
280,1,1
305,1,6
330,1,1
355,1,1
380,1,1
405,1,9
430,1,1
455,1,1
480,7,29
505,1,1
530,1,1
555,1,1
580,23,18
605,1,1
630,1,1
655,1,1
680,1,1
705,1,1
730,5,26
755,1,1
780,1,1
805,1,27
830,1,1
855,1,1
880,1,1
905,1,1
930,1,5
955,1,1
980,1,4
1005,21,29
1030,1,1
1055,1,1
1080,1,1
1105,3,5
1130,1,1
1155,1,1
1180,1,1
1205,1,1
1230,1,1
1255,1,3
1280,1,7
1305,1,8
1330,2,4
