window,ppo,rsi
0,1,1
25,1,1
50,1,6
75,1,1
100,1,1
125,1,1
150,1,9
175,1,1
200,1,1
225,1,1
250,1,1
275,1,1
300,1,1
325,2,1
350,1,1
375,1,2
400,1,1
425,1,4
450,9,14
475,1,4
500,1,1
525,1,1
550,1,1
575,1,4
600,1,1
625,1,1
650,1,1
675,1,1
700,1,1
725,1,1
750,1,4
775,1,5
800,8,14
825,1,8
850,1,10
875,1,1
900,5,14
925,1,1
950,1,1
975,1,1
1000,1,8
1025,1,3
1050,1,3
1075,12,2
1100,14,14
1125,1,1
1150,1,7
1175,2,1
1200,9,4
1225,1,1
1250,1,1
1275,1,6
1300,1,1
1325,2,4
1350,1,1
1375,1,1
1400,1,1
1425,14,7
1450,1,1
1475,1,1
1500,11,14
1525,1,1
1550,1,1
1575,1,13
1600,1,1
1625,1,7
1650,1,1
1675,1,1
1700,1,1
1725,1,1
1750,1,1
1775,1,8
1800,1,1
1825,1,3
1850,1,1
1875,1,4
1900,1,1
1925,1,1
1950,1,1
1975,1,1
2000,1,1
2025,1,7
2050,1,1
1,1,1
26,1,1
51,1,6
76,1,1
101,1,1
126,1,1
151,1,9
176,1,1
201,1,1
226,1,1
251,1,1
276,1,1
301,1,1
326,2,1
351,1,1
376,1,2
401,1,1
426,1,4
451,9,14
476,1,4
501,1,1
526,1,1
551,1,1
576,1,4
601,1,1
626,1,1
651,1,1
676,1,1
701,1,1
726,1,1
751,1,4
776,1,5
801,8,14
826,1,8
851,1,10
876,1,1
901,5,14
926,1,1
951,1,1
976,1,1
1001,1,8
1026,1,3
1051,1,3
1076,12,2
1101,1,1
1126,1,1
1151,1,7
1176,2,1
1201,2,2
1226,1,1
1251,1,1
1276,1,6
1301,1,1
1326,2,4
1351,1,1
1376,1,1
1401,1,1
1426,14,7
1451,1,1
1476,11,14
1501,1,1
1526,1,1
1551,1,1
1576,1,13
1601,1,1
1626,1,7
1651,1,1
1676,1,1
1701,1,1
1726,1,1
1751,1,1
1776,1,8
1801,1,1
1826,1,3
1851,1,1
1876,1,4
1901,1,1
1926,1,1
1951,1,1
1976,1,1
2001,1,1
2026,1,7
2051,1,1
2,1,1
27,1,1
52,1,6
77,1,1
102,1,1
127,1,1
152,1,9
177,1,1
202,1,1
227,1,1
252,1,1
277,1,1
302,1,1
327,2,1
352,1,1
377,1,2
402,1,1
427,1,4
452,1,1
477,1,4
502,1,1
527,1,1
552,1,1
577,1,4
602,1,1
627,1,1
652,1,1
677,1,1
702,1,1
727,1,1
752,1,4
777,1,5
802,8,14
827,1,10
852,1,6
877,1,1
902,5,14
927,1,1
952,1,1
977,13,14
1002,1,8
1027,1,3
1052,1,3
1077,12,2
1102,14,14
1127,1,6
1152,1,7
1177,3,3
1202,1,4
1227,1,1
1252,1,1
1277,1,6
1302,1,1
1327,2,4
1352,1,1
1377,1,1
1402,1,1
1427,14,7
1452,1,1
1477,11,14
1502,1,1
1527,1,1
1552,1,1
1577,1,13
1602,1,1
1627,1,7
1652,1,1
1677,1,1
1702,1,1
1727,1,1
1752,1,1
1777,1,8
1802,1,1
1827,1,3
1852,1,1
1877,1,4
1902,1,1
1927,1,1
1952,1,1
1977,1,1
2002,1,1
2027,1,7
2052,1,1
3,1,1
28,1,1
53,1,1
78,1,1
103,1,1
128,1,1
153,1,9
178,1,1
203,1,1
228,1,1
253,1,1
278,1,1
303,1,1
328,1,1
353,1,1
378,1,2
403,1,1
428,1,4
453,1,1
478,1,4
503,1,1
528,1,1
553,1,1
578,1,4
603,1,1
628,1,1
653,1,1
678,1,1
703,1,1
728,1,1
753,1,4
778,1,5
803,3,14
828,1,10
853,1,4
878,1,1
903,5,14
928,1,1
953,1,1
978,13,14
1003,1,8
1028,1,3
1053,1,3
1078,12,2
1103,14,14
1128,1,6
1153,1,7
1178,2,1
1203,1,4
1228,1,1
1253,1,1
1278,1,6
1303,1,1
1328,2,4
1353,1,1
1378,1,1
1403,1,1
1428,14,7
1453,1,1
1478,11,14
1503,1,1
1528,1,1
1553,1,1
1578,1,13
1603,1,1
1628,1,7
1653,1,1
1678,1,1
1703,1,1
1728,1,1
1753,1,1
1778,1,8
1803,1,1
1828,1,1
1853,1,1
1878,1,4
1903,1,1
1928,1,1
1953,1,1
1978,1,1
2003,1,1
2028,1,7
2053,1,1
4,1,1
29,1,6
54,1,1
79,1,1
104,1,1
129,1,1
154,1,9
179,1,1
204,1,1
229,1,1
254,1,1
279,1,1
304,2,1
329,1,1
354,1,1
379,1,2
404,1,1
429,1,4
454,1,1
479,1,4
504,1,1
529,1,1
554,1,1
579,1,4
604,1,1
629,1,1
654,1,1
679,1,1
704,1,1
729,1,1
754,1,4
779,1,5
804,3,14
829,1,10
854,1,1
879,1,1
904,5,14
929,1,1
954,1,1
979,13,14
1004,1,8
1029,1,3
1054,1,3
1079,1,3
1104,14,14
1129,1,6
1154,1,7
1179,2,1
1204,1,4
1229,1,1
1254,1,6
1279,1,1
1304,1,1
1329,2,4
1354,1,1
1379,1,1
1404,1,1
1429,12,14
1454,1,1
1479,11,14
1504,1,1
1529,1,1
1554,1,1
1579,1,13
1604,1,1
1629,1,7
1654,1,1
1679,1,1
1704,1,1
1729,1,1
1754,1,1
1779,1,8
1804,1,1
1829,1,1
1854,1,1
1879,1,4
1904,1,1
1929,1,1
1954,1,2
1979,1,1
2004,1,1
2029,1,7
2054,1,1
5,1,1
30,1,6
55,1,1
80,1,1
105,1,1
130,1,1
155,1,9
180,1,1
205,1,1
230,1,1
255,1,1
280,1,1
305,2,1
330,1,1
355,1,1
380,1,2
405,1,1
430,1,4
455,1,1
480,1,4
505,1,1
530,1,1
555,1,1
580,1,4
605,1,1
630,1,1
655,1,1
680,1,1
705,1,1
730,1,1
755,1,4
780,1,5
805,7,2
830,1,10
855,1,1
880,1,1
905,5,14
930,1,1
955,1,1
980,13,14
1005,1,8
1030,1,3
1055,1,3
1080,1,3
1105,1,1
1130,1,6
1155,1,7
1180,2,1
1205,1,4
1230,1,1
1255,1,6
1280,1,1
1305,1,1
1330,2,4
